datetime,timestamp,open,high,low,close,volume
2022-01-01 00:00:00,1640995200,4.01,4.5,4.009,4.221,1476467.0732
2022-01-02 00:00:00,1641081600,4.221,4.444,4.119,4.172,1021055.3688
2022-01-03 00:00:00,1641168000,4.172,4.225,4.081,4.152,330456.1826
2022-01-04 00:00:00,1641254400,4.155,4.275,4.094,4.112,952712.3334
2022-01-05 00:00:00,1641340800,4.129,4.186,3.65,3.808,432380.5047
2022-01-06 00:00:00,1641427200,3.805,4.065,3.701,3.876,627835.5936
2022-01-07 00:00:00,1641513600,3.876,3.876,3.615,3.811,518254.5732
2022-01-08 00:00:00,1641600000,3.812,3.952,3.555,3.657,569966.4744
2022-01-09 00:00:00,1641686400,3.653,3.949,3.624,3.77,664803.886
2022-01-10 00:00:00,1641772800,3.773,3.837,3.458,3.579,455420.1911
2022-01-11 00:00:00,1641859200,3.586,4.035,3.561,3.818,1233570.3487
2022-01-12 00:00:00,1641945600,3.794,3.97,3.751,3.922,395623.0261
2022-01-13 00:00:00,1642032000,3.921,4.0,3.761,3.783,196042.2779
2022-01-14 00:00:00,1642118400,3.791,3.92,3.771,3.845,180654.5363
2022-01-15 00:00:00,1642204800,3.847,3.93,3.809,3.846,116773.5205
2022-01-16 00:00:00,1642291200,3.855,3.92,3.804,3.89,119610.9061
2022-01-17 00:00:00,1642377600,3.885,4.066,3.758,3.798,536690.1053
2022-01-18 00:00:00,1642464000,3.794,3.826,3.624,3.727,214641.3517
2022-01-19 00:00:00,1642550400,3.726,3.741,3.612,3.627,89937.2352
2022-01-20 00:00:00,1642636800,3.613,4.5,3.583,3.583,2478146.5117
2022-01-21 00:00:00,1642723200,3.589,3.623,3.15,3.168,570173.4468
2022-01-22 00:00:00,1642809600,3.168,3.213,2.55,2.804,514008.1354
2022-01-23 00:00:00,1642896000,2.821,3.027,2.804,2.945,201554.5901
2022-01-24 00:00:00,1642982400,2.942,2.973,2.625,2.941,244537.9591
2022-01-25 00:00:00,1643068800,2.918,2.969,2.84,2.907,126969.1725
2022-01-26 00:00:00,1643155200,2.901,3.062,2.807,2.887,214243.2334
2022-01-27 00:00:00,1643241600,2.887,3.03,2.764,2.955,191817.8037
2022-01-28 00:00:00,1643328000,2.972,3.139,2.901,3.011,354707.3165
2022-01-29 00:00:00,1643414400,2.989,3.116,2.983,3.009,125442.8498
2022-01-30 00:00:00,1643500800,3.016,3.223,2.981,3.067,270815.1584
2022-01-31 00:00:00,1643587200,3.059,3.164,2.951,3.042,171531.9483
2022-02-01 00:00:00,1643673600,3.058,3.166,3.035,3.125,120301.1121
2022-02-02 00:00:00,1643760000,3.125,3.169,3.0,3.03,118274.0063
2022-02-03 00:00:00,1643846400,3.04,3.18,3.0,3.09,175066.3652
2022-02-04 00:00:00,1643932800,3.091,3.245,3.085,3.234,136164.5326
2022-02-05 00:00:00,1644019200,3.222,3.3,3.149,3.231,300138.1865
2022-02-06 00:00:00,1644105600,3.245,3.299,3.193,3.261,131806.6912
2022-02-07 00:00:00,1644192000,3.261,3.341,3.19,3.306,298317.7147
2022-02-08 00:00:00,1644278400,3.311,3.361,3.17,3.261,220220.7051
2022-02-09 00:00:00,1644364800,3.262,3.489,3.195,3.347,587433.9487
2022-02-10 00:00:00,1644451200,3.347,3.38,3.191,3.241,359288.4235
2022-02-11 00:00:00,1644537600,3.242,3.269,3.133,3.154,218529.7996
2022-02-12 00:00:00,1644624000,3.147,3.244,3.013,3.162,320944.6339
