datetime,timestamp,open,high,low,close,volume
2023-01-01 00:00:00,1672531200,3.175,3.193,3.155,3.165,673378.35608
2023-01-02 00:00:00,1672617600,3.164,3.224,3.128,3.188,1474532.5238
2023-01-03 00:00:00,1672704000,3.188,3.208,3.171,3.2,987165.18765
2023-01-04 00:00:00,1672790400,3.2,3.323,3.189,3.292,3255976.20748
2023-01-05 00:00:00,1672876800,3.292,3.31,3.253,3.268,1284461.30193
2023-01-06 00:00:00,1672963200,3.268,3.326,3.234,3.315,1672170.44721
2023-01-07 00:00:00,1673049600,3.315,3.346,3.293,3.314,1095467.04196
2023-01-08 00:00:00,1673136000,3.314,3.427,3.283,3.413,2558736.43957
2023-01-09 00:00:00,1673222400,3.414,3.507,3.367,3.383,3559739.16274
2023-01-10 00:00:00,1673308800,3.382,3.429,3.359,3.408,1983442.64957
2023-01-11 00:00:00,1673395200,3.408,3.497,3.363,3.478,2312101.07777
2023-01-12 00:00:00,1673481600,3.477,3.521,3.406,3.504,3901138.72621
2023-01-13 00:00:00,1673568000,3.504,3.603,3.466,3.588,2721705.92182
2023-01-14 00:00:00,1673654400,3.589,3.931,3.583,3.767,9861979.7868
2023-01-15 00:00:00,1673740800,3.769,3.785,3.606,3.728,3084454.37014
2023-01-16 00:00:00,1673827200,3.729,3.811,3.64,3.684,6287764.00855
2023-01-17 00:00:00,1673913600,3.685,3.789,3.654,3.696,3424583.99089
2023-01-18 00:00:00,1674000000,3.695,3.785,3.446,3.542,6473464.74335
2023-01-19 00:00:00,1674086400,3.541,3.713,3.523,3.651,6629989.46131
2023-01-20 00:00:00,1674172800,3.651,3.812,3.554,3.808,4619736.45392
2023-01-21 00:00:00,1674259200,3.805,3.88,3.735,3.743,5357773.65229
2023-01-22 00:00:00,1674345600,3.745,3.89,3.744,3.81,4594369.60134
2023-01-23 00:00:00,1674432000,3.808,3.982,3.805,3.915,5931285.5535
2023-01-24 00:00:00,1674518400,3.915,4.202,3.864,3.889,11548932.58718
2023-01-25 00:00:00,1674604800,3.889,4.032,3.81,3.968,6646431.34626
2023-01-26 00:00:00,1674691200,3.967,4.014,3.914,3.953,4166156.49387
2023-01-27 00:00:00,1674777600,3.955,4.048,3.886,4.022,4296100.83318
2023-01-28 00:00:00,1674864000,4.022,4.071,3.853,4.001,4464077.42384
2023-01-29 00:00:00,1674950400,4.0,4.182,3.985,4.11,4790103.1757
2023-01-30 00:00:00,1675036800,4.11,4.11,4.11,4.11,0.0
