datetime,timestamp,open,high,low,close,volume
2022-01-01 00:00:00,1640995200,1.378,1.424,1.369,1.413,590467.0988
2022-01-02 00:00:00,1641081600,1.412,1.505,1.376,1.481,1228854.7437
2022-01-03 00:00:00,1641168000,1.483,1.695,1.454,1.535,5004869.3123
2022-01-04 00:00:00,1641254400,1.538,1.562,1.474,1.486,894342.5499
2022-01-05 00:00:00,1641340800,1.486,1.558,1.351,1.385,772207.7481
2022-01-06 00:00:00,1641427200,1.385,1.436,1.312,1.365,483951.6262
2022-01-07 00:00:00,1641513600,1.362,1.362,1.263,1.275,533315.1821
2022-01-08 00:00:00,1641600000,1.278,1.317,1.168,1.218,871563.1413
2022-01-09 00:00:00,1641686400,1.217,1.32,1.198,1.284,599127.2832
2022-01-10 00:00:00,1641772800,1.283,1.367,1.17,1.247,1866997.774
2022-01-11 00:00:00,1641859200,1.247,1.37,1.23,1.324,777194.8605
2022-01-12 00:00:00,1641945600,1.327,1.412,1.323,1.372,581113.2794
2022-01-13 00:00:00,1642032000,1.372,1.406,1.3,1.348,999961.1958
2022-01-14 00:00:00,1642118400,1.343,1.579,1.339,1.418,3163014.0417
2022-01-15 00:00:00,1642204800,1.419,1.456,1.379,1.38,551029.1155
2022-01-16 00:00:00,1642291200,1.379,1.391,1.355,1.388,214299.0291
2022-01-17 00:00:00,1642377600,1.388,1.419,1.266,1.29,1082988.1478
2022-01-18 00:00:00,1642464000,1.294,1.351,1.248,1.283,865643.7038
2022-01-19 00:00:00,1642550400,1.284,1.309,1.229,1.264,620127.6203
2022-01-20 00:00:00,1642636800,1.263,1.344,1.213,1.214,1750712.1498
2022-01-21 00:00:00,1642723200,1.22,1.264,1.033,1.066,1321720.2788
2022-01-22 00:00:00,1642809600,1.068,1.183,0.925,1.037,4951073.5087
2022-01-23 00:00:00,1642896000,1.035,1.167,1.02,1.053,1531999.5271
2022-01-24 00:00:00,1642982400,1.052,1.054,0.932,1.029,763142.9038
2022-01-25 00:00:00,1643068800,1.026,1.1,0.998,1.082,313304.9363
2022-01-26 00:00:00,1643155200,1.087,1.149,1.047,1.095,555702.8687
2022-01-27 00:00:00,1643241600,1.096,1.132,1.033,1.057,586114.8495
2022-01-28 00:00:00,1643328000,1.057,1.11,1.05,1.101,178669.8058
2022-01-29 00:00:00,1643414400,1.099,1.127,1.08,1.099,294735.4757
2022-01-30 00:00:00,1643500800,1.099,1.14,1.067,1.092,483306.7935
2022-01-31 00:00:00,1643587200,1.094,1.094,1.069,1.074,334208.0269
2022-02-01 00:00:00,1643673600,1.073,1.146,1.07,1.086,749557.1203
2022-02-02 00:00:00,1643760000,1.084,1.124,1.044,1.054,688429.8809
2022-02-03 00:00:00,1643846400,1.054,1.109,1.031,1.078,372906.5279
2022-02-04 00:00:00,1643932800,1.075,1.147,1.069,1.143,397995.022
2022-02-05 00:00:00,1644019200,1.143,1.233,1.133,1.17,661667.1456
2022-02-06 00:00:00,1644105600,1.17,1.187,1.12,1.155,320079.9394
2022-02-07 00:00:00,1644192000,1.157,1.22,1.145,1.185,587213.1426
2022-02-08 00:00:00,1644278400,1.183,1.207,1.144,1.164,505426.6293
2022-02-09 00:00:00,1644364800,1.164,1.249,1.144,1.215,483705.0683
2022-02-10 00:00:00,1644451200,1.214,1.247,1.14,1.186,920959.278
2022-02-11 00:00:00,1644537600,1.184,1.247,1.13,1.173,977765.4175
2022-02-12 00:00:00,1644624000,1.178,1.24,1.105,1.126,518571.0983
2022-02-13 00:00:00,1644710400,1.126,1.147,1.08,1.081,508572.3006
2022-02-14 00:00:00,1644796800,1.082,1.105,1.039,1.053,625144.8202
2022-02-15 00:00:00,1644883200,1.056,1.13,1.047,1.122,582018.7623
2022-02-16 00:00:00,1644969600,1.122,1.169,1.076,1.104,934035.5775
2022-02-17 00:00:00,1645056000,1.105,1.108,1.022,1.028,466767.5204
2022-02-18 00:00:00,1645142400,1.026,1.042,0.962,0.978,580784.8199
2022-02-19 00:00:00,1645228800,0.977,1.115,0.958,1.005,1250578.3627
2022-02-20 00:00:00,1645315200,1.003,1.01,0.918,0.94,366403.5081
2022-02-21 00:00:00,1645401600,0.939,0.975,0.878,0.884,349769.6651
2022-02-22 00:00:00,1645488000,0.883,0.919,0.8,0.916,375735.2336
2022-02-23 00:00:00,1645574400,0.915,1.035,0.892,0.895,664306.8228
2022-02-24 00:00:00,1645660800,0.895,0.956,0.734,0.853,2307002.4001
2022-02-25 00:00:00,1645747200,0.853,0.903,0.847,0.89,312869.4169
2022-02-26 00:00:00,1645833600,0.886,0.977,0.886,0.913,556678.2377
2022-02-27 00:00:00,1645920000,0.913,0.948,0.851,0.858,679722.9238
2022-02-28 00:00:00,1646006400,0.86,0.936,0.853,0.929,658709.0176
2022-03-01 00:00:00,1646092800,0.93,0.95,0.905,0.945,568599.6089
2022-03-02 00:00:00,1646179200,0.944,1.113,0.925,0.993,2986030.8181
2022-03-03 00:00:00,1646265600,0.995,1.01,0.895,0.916,472870.3943
2022-03-04 00:00:00,1646352000,0.915,0.95,0.823,0.833,696213.2345
2022-03-05 00:00:00,1646438400,0.833,0.859,0.817,0.842,219076.5361
2022-03-06 00:00:00,1646524800,0.843,0.849,0.742,0.749,1506703.0642
2022-03-07 00:00:00,1646611200,0.749,0.754,0.708,0.723,493759.8496
2022-03-08 00:00:00,1646697600,0.72,0.745,0.707,0.722,285199.073
2022-03-09 00:00:00,1646784000,0.724,0.766,0.724,0.749,355865.7786
2022-03-10 00:00:00,1646870400,0.749,0.75,0.69,0.705,315315.9755
2022-03-11 00:00:00,1646956800,0.705,0.764,0.697,0.699,773124.1458
2022-03-12 00:00:00,1647043200,0.699,0.717,0.699,0.702,255151.9542
2022-03-13 00:00:00,1647129600,0.702,0.732,0.676,0.678,623293.2856
2022-03-14 00:00:00,1647216000,0.678,0.701,0.671,0.693,312002.6106
2022-03-15 00:00:00,1647302400,0.693,1.417,0.672,0.939,102130727.556
2022-03-16 00:00:00,1647388800,0.94,1.02,0.853,0.886,21237591.7658
2022-03-17 00:00:00,1647475200,0.886,0.896,0.829,0.848,4057979.8613
2022-03-18 00:00:00,1647561600,0.849,0.85,0.77,0.819,4714939.0546
2022-03-19 00:00:00,1647648000,0.819,0.85,0.806,0.827,2787567.3439
2022-03-20 00:00:00,1647734400,0.828,0.828,0.77,0.787,2060434.6602
2022-03-21 00:00:00,1647820800,0.787,0.906,0.757,0.805,3908221.2156
2022-03-22 00:00:00,1647907200,0.804,0.832,0.802,0.818,1450335.1626
2022-03-23 00:00:00,1647993600,0.817,0.829,0.797,0.821,1383276.9494
2022-03-24 00:00:00,1648080000,0.821,0.86,0.814,0.838,2122251.2735
2022-03-25 00:00:00,1648166400,0.838,0.86,0.801,0.82,2522197.5311
2022-03-26 00:00:00,1648252800,0.821,0.856,0.811,0.84,1412638.5688
2022-03-27 00:00:00,1648339200,0.839,0.87,0.826,0.868,1583453.7196
2022-03-28 00:00:00,1648425600,0.867,0.885,0.85,0.85,1757643.374
2022-03-29 00:00:00,1648512000,0.85,1.132,0.842,0.908,13323427.7248
2022-03-30 00:00:00,1648598400,0.909,0.925,0.867,0.893,3123358.3004
2022-03-31 00:00:00,1648684800,0.892,0.911,0.833,0.842,1843008.6756
2022-04-01 00:00:00,1648771200,0.843,0.906,0.821,0.875,1852804.4097
