datetime,timestamp,open,high,low,close,volume
2023-01-01 00:00:00,1672531200,0.653,0.66,0.644,0.658,1082047.35245
2023-01-02 00:00:00,1672617600,0.659,0.675,0.644,0.666,2057827.28465
2023-01-03 00:00:00,1672704000,0.666,0.758,0.666,0.723,8146747.25534
2023-01-04 00:00:00,1672790400,0.724,0.745,0.71,0.727,4984346.49815
2023-01-05 00:00:00,1672876800,0.727,0.731,0.7,0.706,2572621.8602
2023-01-06 00:00:00,1672963200,0.707,0.718,0.673,0.701,3658627.43558
2023-01-07 00:00:00,1673049600,0.702,0.721,0.695,0.699,2997227.50873
2023-01-08 00:00:00,1673136000,0.699,0.733,0.687,0.728,2568653.90925
2023-01-09 00:00:00,1673222400,0.729,0.847,0.723,0.784,12749922.12495
2023-01-10 00:00:00,1673308800,0.785,0.803,0.764,0.802,5496182.4636
2023-01-11 00:00:00,1673395200,0.801,0.823,0.758,0.817,5888243.14665
2023-01-12 00:00:00,1673481600,0.817,0.911,0.799,0.874,18701025.15106
2023-01-13 00:00:00,1673568000,0.874,0.948,0.863,0.932,12020795.20644
2023-01-14 00:00:00,1673654400,0.932,0.932,0.932,0.932,0.0
