datetime,timestamp,open,high,low,close,volume
2023-01-01 00:00:00,1672531200,0.2841,0.305,0.281,0.2936,4427800.67837
2023-01-02 00:00:00,1672617600,0.2936,0.3161,0.29,0.2985,4150593.44216
2023-01-03 00:00:00,1672704000,0.2988,0.302,0.2852,0.2959,2888098.07737
2023-01-04 00:00:00,1672790400,0.2956,0.312,0.2928,0.3016,3266692.32628
2023-01-05 00:00:00,1672876800,0.3019,0.323,0.2981,0.3051,3626159.45654
2023-01-06 00:00:00,1672963200,0.3053,0.3099,0.2855,0.302,2509797.14611
2023-01-07 00:00:00,1673049600,0.302,0.3049,0.2925,0.2978,1361415.97794
2023-01-08 00:00:00,1673136000,0.2975,0.3044,0.2926,0.3015,1740361.06617
2023-01-09 00:00:00,1673222400,0.302,0.3429,0.3013,0.3122,6260907.12217
2023-01-10 00:00:00,1673308800,0.3123,0.3415,0.3119,0.3212,4930528.08009
2023-01-11 00:00:00,1673395200,0.3216,0.3253,0.3049,0.3244,3164486.3742
2023-01-12 00:00:00,1673481600,0.3244,0.3346,0.3071,0.33,4763466.99926
2023-01-13 00:00:00,1673568000,0.3304,0.3569,0.3256,0.3384,7382281.56263
2023-01-14 00:00:00,1673654400,0.3383,0.3916,0.3361,0.3507,10668070.49346
2023-01-15 00:00:00,1673740800,0.3513,0.3799,0.3343,0.3572,7541228.77071
2023-01-16 00:00:00,1673827200,0.3573,0.3752,0.3397,0.3552,5863390.22389
2023-01-17 00:00:00,1673913600,0.3549,0.3598,0.319,0.3411,4261146.98856
2023-01-18 00:00:00,1674000000,0.3408,0.347,0.303,0.32,7054625.92045
2023-01-19 00:00:00,1674086400,0.3199,0.325,0.3056,0.3233,2625333.5488
2023-01-20 00:00:00,1674172800,0.3233,0.38,0.3182,0.3573,10539653.48265
2023-01-21 00:00:00,1674259200,0.3573,0.51,0.3525,0.4194,26879806.61135
2023-01-22 00:00:00,1674345600,0.4194,0.4872,0.389,0.4192,24864467.78755
2023-01-23 00:00:00,1674432000,0.4193,0.5289,0.4184,0.4449,32625758.32773
2023-01-24 00:00:00,1674518400,0.4446,0.4991,0.4145,0.4361,17190751.84136
2023-01-25 00:00:00,1674604800,0.4363,0.5822,0.4161,0.5178,30040541.48589
2023-01-26 00:00:00,1674691200,0.518,0.5788,0.483,0.503,34830240.27208
2023-01-27 00:00:00,1674777600,0.503,0.5888,0.473,0.5509,40847391.99056
2023-01-28 00:00:00,1674864000,0.5508,0.5966,0.5206,0.5475,21021053.54608
2023-01-29 00:00:00,1674950400,0.5476,0.563,0.5258,0.5406,11895051.12696
2023-01-30 00:00:00,1675036800,0.5402,0.5402,0.4516,0.4896,16703155.55386
2023-01-31 00:00:00,1675123200,0.4896,0.4913,0.465,0.4824,9435342.84916
2023-02-01 00:00:00,1675209600,0.4824,0.52,0.44,0.5124,17037395.39391
2023-02-02 00:00:00,1675296000,0.5131,0.5419,0.4811,0.4879,18029904.1106
2023-02-03 00:00:00,1675382400,0.4872,0.53,0.4809,0.5091,12935422.57992
2023-02-04 00:00:00,1675468800,0.509,0.5239,0.4929,0.4998,9882048.57353
2023-02-05 00:00:00,1675555200,0.4999,0.51,0.4602,0.4955,11367198.80351
2023-02-06 00:00:00,1675641600,0.4956,0.63,0.4932,0.57,57718570.51813
2023-02-07 00:00:00,1675728000,0.5703,0.6456,0.5345,0.6131,37553867.41251
2023-02-08 00:00:00,1675814400,0.6127,0.6172,0.5222,0.5394,19919940.46291
2023-02-09 00:00:00,1675900800,0.5393,0.5666,0.4639,0.4792,18420349.30784
2023-02-10 00:00:00,1675987200,0.4787,0.5,0.4528,0.4745,13933312.26358
2023-02-11 00:00:00,1676073600,0.4744,0.56,0.469,0.5387,13303090.33076
2023-02-12 00:00:00,1676160000,0.5383,0.5978,0.5155,0.5536,24998135.98626
2023-02-13 00:00:00,1676246400,0.5534,0.61,0.4864,0.5928,29079412.43074
2023-02-14 00:00:00,1676332800,0.5928,0.74,0.58,0.672,89507879.16494
2023-02-15 00:00:00,1676419200,0.6714,0.76,0.6668,0.7403,54614870.21966
2023-02-16 00:00:00,1676505600,0.7404,0.76,0.6491,0.6621,34898689.83084
2023-02-17 00:00:00,1676592000,0.6621,0.8957,0.6553,0.8322,64755598.03006
2023-02-18 00:00:00,1676678400,0.8317,0.9499,0.778,0.8099,78402002.11812
2023-02-19 00:00:00,1676764800,0.8099,0.87,0.7789,0.8276,40423792.12799
2023-02-20 00:00:00,1676851200,0.8266,0.8454,0.8264,0.8291,642967.15808
