datetime,timestamp,open,high,low,close,volume
2023-01-01 00:00:00,1672531200,1.275,1.275,1.253,1.274,491903.6825
2023-01-02 00:00:00,1672617600,1.275,1.308,1.25,1.299,1046500.852
2023-01-03 00:00:00,1672704000,1.3,1.32,1.282,1.305,1058053.3683
2023-01-04 00:00:00,1672790400,1.305,1.37,1.305,1.356,1541866.2526
2023-01-05 00:00:00,1672876800,1.357,1.382,1.342,1.357,1300989.8904
2023-01-06 00:00:00,1672963200,1.356,1.373,1.311,1.372,1111350.9193
2023-01-07 00:00:00,1673049600,1.372,1.396,1.362,1.372,621495.3507
2023-01-08 00:00:00,1673136000,1.373,1.422,1.361,1.415,1296693.8629
2023-01-09 00:00:00,1673222400,1.415,1.48,1.411,1.421,3404137.6014
2023-01-10 00:00:00,1673308800,1.42,1.458,1.4,1.442,1964653.907
2023-01-11 00:00:00,1673395200,1.442,1.454,1.378,1.451,2057568.6083
2023-01-12 00:00:00,1673481600,1.452,1.579,1.407,1.527,5219469.5694
2023-01-13 00:00:00,1673568000,1.527,1.571,1.497,1.558,4876844.16
2023-01-14 00:00:00,1673654400,1.558,1.747,1.52,1.61,9240480.0044
2023-01-15 00:00:00,1673740800,1.611,1.68,1.564,1.653,5456693.1133
2023-01-16 00:00:00,1673827200,1.653,1.729,1.58,1.641,6567552.5924
2023-01-17 00:00:00,1673913600,1.64,1.674,1.591,1.597,3292829.574
2023-01-18 00:00:00,1674000000,1.598,1.683,1.467,1.48,8148990.5845
2023-01-19 00:00:00,1674086400,1.479,1.58,1.459,1.535,5136528.6806
2023-01-20 00:00:00,1674172800,1.537,1.648,1.513,1.641,4358843.9764
2023-01-21 00:00:00,1674259200,1.641,1.859,1.626,1.733,11283187.3392
2023-01-22 00:00:00,1674345600,1.733,2.103,1.717,1.94,27544596.954
2023-01-23 00:00:00,1674432000,1.94,2.065,1.904,1.996,11602415.0069
2023-01-24 00:00:00,1674518400,1.996,2.018,1.782,1.836,8464095.8218
2023-01-25 00:00:00,1674604800,1.836,2.47,1.781,2.241,45591239.4286
2023-01-26 00:00:00,1674691200,2.243,2.75,2.2,2.58,36691292.3089
2023-01-27 00:00:00,1674777600,2.581,2.802,2.503,2.558,28511464.331
2023-01-28 00:00:00,1674864000,2.557,2.74,2.453,2.502,20875357.2008
2023-01-29 00:00:00,1674950400,2.501,2.583,2.472,2.524,10375797.8675
2023-01-30 00:00:00,1675036800,2.525,2.985,2.476,2.816,44651502.0558
2023-01-31 00:00:00,1675123200,2.815,3.25,2.69,3.143,31257528.3978
2023-02-01 00:00:00,1675209600,3.143,4.047,3.038,3.855,55801557.743
2023-02-02 00:00:00,1675296000,3.857,3.97,3.511,3.627,31650714.4636
2023-02-03 00:00:00,1675382400,3.63,3.99,3.546,3.749,31258253.4398
2023-02-04 00:00:00,1675468800,3.749,4.238,3.605,3.876,39333813.8844
2023-02-05 00:00:00,1675555200,3.875,4.038,3.34,3.603,29861043.0538
2023-02-06 00:00:00,1675641600,3.602,3.727,3.423,3.474,17346077.8138
2023-02-07 00:00:00,1675728000,3.474,4.379,3.419,4.144,42536634.2253
2023-02-08 00:00:00,1675814400,4.144,4.272,3.651,3.734,23768183.1671
2023-02-09 00:00:00,1675900800,3.736,3.8,3.182,3.284,24114034.6575
2023-02-10 00:00:00,1675987200,3.285,3.418,3.003,3.128,16900899.6438
2023-02-11 00:00:00,1676073600,3.129,3.42,3.076,3.399,15435934.5103
2023-02-12 00:00:00,1676160000,3.399,3.633,3.228,3.347,21284130.3987
2023-02-13 00:00:00,1676246400,3.346,3.473,3.017,3.258,17755937.9319
2023-02-14 00:00:00,1676332800,3.26,3.586,3.2,3.487,19148982.9941
2023-02-15 00:00:00,1676419200,3.49,4.131,3.41,3.945,28539989.3906
2023-02-16 00:00:00,1676505600,3.945,4.046,3.599,3.645,32687163.1247
2023-02-17 00:00:00,1676592000,3.643,4.217,3.643,4.006,40102395.1954
2023-02-18 00:00:00,1676678400,4.004,4.582,3.951,4.421,33255579.5986
2023-02-19 00:00:00,1676764800,4.417,4.55,4.053,4.162,21022739.7282
2023-02-20 00:00:00,1676851200,4.16,4.321,3.968,4.189,23094415.2116
2023-02-21 00:00:00,1676937600,4.191,4.418,3.853,3.942,27206072.9862
2023-02-22 00:00:00,1677024000,3.943,3.951,3.647,3.813,18930551.1983
2023-02-23 00:00:00,1677110400,3.813,4.1,3.763,3.913,17839483.0149
2023-02-24 00:00:00,1677196800,3.913,3.952,3.536,3.644,10435068.4864
2023-02-25 00:00:00,1677283200,3.644,3.672,3.282,3.425,9850526.0722
2023-02-26 00:00:00,1677369600,3.425,3.871,3.405,3.779,14684043.0211
2023-02-27 00:00:00,1677456000,3.778,3.884,3.55,3.641,15266223.5368
2023-02-28 00:00:00,1677542400,3.642,3.701,3.45,3.509,9034791.1215
2023-03-01 00:00:00,1677628800,3.509,3.851,3.508,3.797,8241002.1831
2023-03-02 00:00:00,1677715200,3.797,3.817,3.539,3.75,6698042.693
2023-03-03 00:00:00,1677801600,3.751,3.805,3.334,3.607,13554533.5827
2023-03-04 00:00:00,1677888000,3.608,3.69,3.107,3.258,11597363.1124
2023-03-05 00:00:00,1677974400,3.259,3.513,3.22,3.344,8719393.2462
2023-03-06 00:00:00,1678060800,3.343,3.447,3.26,3.323,8243274.749
2023-03-07 00:00:00,1678147200,3.326,3.39,3.092,3.176,9450218.7986
