datetime,timestamp,open,high,low,close,volume
2023-01-01 00:00:00,1672531200,0.954,1.186,0.946,1.08,15604070.64487
2023-01-02 00:00:00,1672617600,1.08,1.27,1.057,1.21,19295334.08069
2023-01-03 00:00:00,1672704000,1.21,1.311,1.188,1.203,14446489.50318
2023-01-04 00:00:00,1672790400,1.203,1.454,1.175,1.38,26063416.37193
2023-01-05 00:00:00,1672876800,1.38,1.411,1.326,1.339,17422334.59307
2023-01-06 00:00:00,1672963200,1.339,1.574,1.258,1.52,28561537.53285
2023-01-07 00:00:00,1673049600,1.52,1.539,1.47,1.488,9875991.87375
2023-01-08 00:00:00,1673136000,1.488,2.64,1.473,1.969,62980955.9929
2023-01-09 00:00:00,1673222400,1.969,2.075,1.839,1.94,52564482.26756
2023-01-10 00:00:00,1673308800,1.941,2.155,1.888,1.928,54791936.36765
2023-01-11 00:00:00,1673395200,1.928,2.0,1.756,1.895,33106556.99456
2023-01-12 00:00:00,1673481600,1.896,2.229,1.729,2.052,61579861.83801
2023-01-13 00:00:00,1673568000,2.051,2.189,1.899,2.101,55968536.7299
2023-01-14 00:00:00,1673654400,2.102,2.383,2.052,2.163,65522792.29722
2023-01-15 00:00:00,1673740800,2.163,2.466,2.077,2.221,62468460.91409
2023-01-16 00:00:00,1673827200,2.221,2.271,2.05,2.122,35643752.0727
2023-01-17 00:00:00,1673913600,2.123,2.158,1.984,1.998,28026330.2744
2023-01-18 00:00:00,1674000000,1.999,2.205,1.879,1.975,53358921.9909
2023-01-19 00:00:00,1674086400,1.973,2.057,1.863,1.97,22061267.30786
2023-01-20 00:00:00,1674172800,1.97,2.389,1.94,2.348,38602890.69829
2023-01-21 00:00:00,1674259200,2.349,2.55,2.158,2.396,61908098.38903
2023-01-22 00:00:00,1674345600,2.396,2.441,2.129,2.207,55829883.03846
2023-01-23 00:00:00,1674432000,2.209,2.685,2.194,2.525,66621714.25913
2023-01-24 00:00:00,1674518400,2.524,2.837,2.285,2.374,66681936.02267
2023-01-25 00:00:00,1674604800,2.374,2.593,2.237,2.533,71661353.70146
2023-01-26 00:00:00,1674691200,2.533,2.591,2.268,2.33,38044946.98503
2023-01-27 00:00:00,1674777600,2.33,2.459,2.219,2.39,41667954.68163
2023-01-28 00:00:00,1674864000,2.39,2.45,2.204,2.24,28350258.19619
2023-01-29 00:00:00,1674950400,2.238,2.35,2.203,2.3,30762242.71802
2023-01-30 00:00:00,1675036800,2.299,2.345,1.976,2.071,45344554.06869
2023-01-31 00:00:00,1675123200,2.07,2.235,2.052,2.199,27374769.37721
2023-02-01 00:00:00,1675209600,2.199,2.374,2.057,2.307,46198250.50732
2023-02-02 00:00:00,1675296000,2.308,2.527,2.235,2.266,54306692.20523
2023-02-03 00:00:00,1675382400,2.269,2.399,2.161,2.355,48730150.16617
