datetime,timestamp,open,high,low,close,volume
2023-02-28 00:00:00,1677542400,1.0,2.867,1.0,2.166,150041963.0355
2023-03-01 00:00:00,1677628800,2.167,2.418,1.805,1.928,78657023.8964
2023-03-02 00:00:00,1677715200,1.926,1.999,1.71,1.816,20619760.7598
2023-03-03 00:00:00,1677801600,1.814,2.125,1.579,1.996,39775803.0577
2023-03-04 00:00:00,1677888000,1.996,2.185,1.84,1.923,33368669.0593
2023-03-05 00:00:00,1677974400,1.922,2.38,1.888,2.206,46651375.4987
2023-03-06 00:00:00,1678060800,2.208,2.52,2.04,2.144,38900889.8069
2023-03-07 00:00:00,1678147200,2.146,2.153,1.872,1.938,20003261.7445
2023-03-08 00:00:00,1678233600,1.938,2.039,1.635,1.685,13808162.9991
2023-03-09 00:00:00,1678320000,1.685,1.969,1.64,1.774,25178296.2196
2023-03-10 00:00:00,1678406400,1.775,2.222,1.602,2.12,32186251.7361
2023-03-11 00:00:00,1678492800,2.12,2.38,1.8,2.126,84159954.1005
2023-03-12 00:00:00,1678579200,2.125,2.259,1.981,2.16,37721339.5134
2023-03-13 00:00:00,1678665600,2.161,3.0,2.045,2.714,114993608.6987
2023-03-14 00:00:00,1678752000,2.714,3.86,2.645,2.965,219692875.414
2023-03-15 00:00:00,1678838400,2.967,3.33,2.513,2.75,150873498.2566
2023-03-16 00:00:00,1678924800,2.75,3.059,2.56,2.739,98296635.1814
2023-03-17 00:00:00,1679011200,2.739,3.0,2.58,2.863,67921530.2
2023-03-18 00:00:00,1679097600,2.863,2.995,2.465,2.49,82103756.3083
2023-03-19 00:00:00,1679184000,2.49,2.645,2.356,2.391,58802934.1127
2023-03-20 00:00:00,1679270400,2.391,2.427,2.134,2.213,51044425.959
2023-03-21 00:00:00,1679356800,2.213,2.498,2.191,2.374,55348073.0751
2023-03-22 00:00:00,1679443200,2.372,2.47,2.09,2.191,34365355.0872
2023-03-23 00:00:00,1679529600,2.192,2.3,2.085,2.264,30229110.3793
2023-03-24 00:00:00,1679616000,2.266,2.404,2.08,2.144,29826007.6798
2023-03-25 00:00:00,1679702400,2.145,2.236,2.008,2.072,15079804.3582
2023-03-26 00:00:00,1679788800,2.072,2.146,2.035,2.126,14136032.6523
2023-03-27 00:00:00,1679875200,2.127,2.32,2.039,2.247,42492917.8153
2023-03-28 00:00:00,1679961600,2.248,2.299,2.007,2.135,30346876.4405
2023-03-29 00:00:00,1680048000,2.135,2.331,2.135,2.222,24691006.2793
2023-03-30 00:00:00,1680134400,2.222,2.284,2.091,2.13,19963779.8968
2023-03-31 00:00:00,1680220800,2.131,2.172,2.062,2.128,13487422.7908
2023-04-01 00:00:00,1680307200,2.127,2.358,2.108,2.273,30144152.5965
2023-04-02 00:00:00,1680393600,2.275,2.384,2.15,2.209,19051236.1693
2023-04-03 00:00:00,1680480000,2.209,2.38,2.12,2.244,27422156.9727
2023-04-04 00:00:00,1680566400,2.244,2.515,2.233,2.488,33447313.5004
2023-04-05 00:00:00,1680652800,2.487,2.652,2.388,2.467,29239525.4481
2023-04-06 00:00:00,1680739200,2.466,2.55,2.335,2.474,24428587.54
2023-04-07 00:00:00,1680825600,2.474,2.527,2.341,2.379,14549700.1948
2023-04-08 00:00:00,1680912000,2.379,2.397,2.202,2.233,10872896.9566
2023-04-09 00:00:00,1680998400,2.233,2.259,2.15,2.205,9505631.2228
2023-04-10 00:00:00,1681084800,2.206,2.297,2.161,2.286,9751810.5568
2023-04-11 00:00:00,1681171200,2.286,2.296,2.18,2.2,9168794.8004
2023-04-12 00:00:00,1681257600,2.2,2.202,2.0,2.086,18360391.7096
2023-04-13 00:00:00,1681344000,2.087,2.182,2.06,2.178,15642146.4809
2023-04-14 00:00:00,1681430400,2.178,2.44,2.164,2.378,28665638.9214
2023-04-15 00:00:00,1681516800,2.377,2.492,2.305,2.332,24944821.8202
2023-04-16 00:00:00,1681603200,2.332,2.42,2.271,2.382,17916030.6421
2023-04-17 00:00:00,1681689600,2.384,2.471,2.25,2.386,25959036.8327
2023-04-18 00:00:00,1681776000,2.386,2.528,2.3,2.416,24909567.257
2023-04-19 00:00:00,1681862400,2.417,2.44,2.051,2.093,21790504.165
2023-04-20 00:00:00,1681948800,2.092,2.169,2.012,2.099,14928545.5152
2023-04-21 00:00:00,1682035200,2.099,2.171,1.842,1.906,20013839.3343
2023-04-22 00:00:00,1682121600,1.905,1.907,1.875,1.877,284921.4157
