datetime,timestamp,open,high,low,close,volume
2022-01-01 00:00:00,1640995200,85.51,91.72,85.46,91.69,202903035.5114
2022-01-02 00:00:00,1641081600,91.69,92.54,87.88,89.45,149672527.092
2022-01-03 00:00:00,1641168000,89.43,93.96,88.43,88.85,278390023.319
2022-01-04 00:00:00,1641254400,88.84,89.5,84.34,84.53,254994480.6027
2022-01-05 00:00:00,1641340800,84.53,87.41,73.28,78.47,333196135.7661
2022-01-06 00:00:00,1641427200,78.45,80.35,74.0,78.41,327771934.9733
2022-01-07 00:00:00,1641513600,78.42,78.69,67.93,68.8,485266498.096
2022-01-08 00:00:00,1641600000,68.8,71.7,62.46,66.96,355264654.5644
2022-01-09 00:00:00,1641686400,66.95,75.67,65.61,74.47,379198013.145
2022-01-10 00:00:00,1641772800,74.46,74.7,65.1,69.44,466177033.8202
2022-01-11 00:00:00,1641859200,69.44,74.99,68.33,73.48,306901604.5927
2022-01-12 00:00:00,1641945600,73.48,82.97,72.46,81.88,391801488.4354
2022-01-13 00:00:00,1642032000,81.87,83.86,77.77,78.34,392043534.8702
2022-01-14 00:00:00,1642118400,78.34,83.06,76.35,81.49,259516256.8322
2022-01-15 00:00:00,1642204800,81.48,87.9,80.38,87.19,219342907.8737
2022-01-16 00:00:00,1642291200,87.19,87.59,84.32,87.1,205351910.5706
2022-01-17 00:00:00,1642377600,87.09,87.23,75.94,77.09,316551130.728
2022-01-18 00:00:00,1642464000,77.1,81.39,73.95,80.71,340427865.3499
2022-01-19 00:00:00,1642550400,80.7,82.08,75.74,81.1,335500380.8734
2022-01-20 00:00:00,1642636800,81.09,84.95,76.24,77.33,334321970.6449
2022-01-21 00:00:00,1642723200,77.31,80.83,61.66,64.73,851330810.6616
2022-01-22 00:00:00,1642809600,64.72,65.98,53.03,62.87,847112456.1659
2022-01-23 00:00:00,1642896000,62.89,70.44,62.76,69.75,516851875.0264
2022-01-24 00:00:00,1642982400,69.75,69.81,59.13,66.0,733741363.7274
2022-01-25 00:00:00,1643068800,65.99,67.2,61.65,62.87,393695264.7201
