datetime,timestamp,open,high,low,close,volume
2023-01-01 00:00:00,1672531200,1.028,1.062,1.012,1.043,1998499.022
2023-01-02 00:00:00,1672617600,1.044,1.058,1.024,1.052,601148.3928
2023-01-03 00:00:00,1672704000,1.052,1.067,1.035,1.06,758314.9252
2023-01-04 00:00:00,1672790400,1.058,1.112,1.055,1.081,1143343.7409
2023-01-05 00:00:00,1672876800,1.081,1.089,1.049,1.057,727893.9442
2023-01-06 00:00:00,1672963200,1.058,1.067,1.032,1.061,646612.828
2023-01-07 00:00:00,1673049600,1.062,1.144,1.06,1.092,1408928.0641
2023-01-08 00:00:00,1673136000,1.091,1.133,1.062,1.125,1065054.4027
2023-01-09 00:00:00,1673222400,1.126,1.167,1.114,1.127,1576127.0813
2023-01-10 00:00:00,1673308800,1.127,1.152,1.107,1.139,957566.9808
2023-01-11 00:00:00,1673395200,1.138,1.194,1.124,1.19,2247726.7262
2023-01-12 00:00:00,1673481600,1.19,1.232,1.161,1.211,1941952.7552
2023-01-13 00:00:00,1673568000,1.212,1.262,1.188,1.255,1514174.7641
2023-01-14 00:00:00,1673654400,1.255,1.353,1.21,1.306,2908103.6448
2023-01-15 00:00:00,1673740800,1.305,1.358,1.276,1.318,2779772.8839
2023-01-16 00:00:00,1673827200,1.318,1.351,1.253,1.293,3325982.7575
2023-01-17 00:00:00,1673913600,1.292,1.314,1.257,1.269,3050823.2858
2023-01-18 00:00:00,1674000000,1.269,1.312,1.179,1.197,2291950.186
2023-01-19 00:00:00,1674086400,1.197,1.254,1.195,1.245,1366524.8529
2023-01-20 00:00:00,1674172800,1.245,1.334,1.229,1.333,1080602.0889
2023-01-21 00:00:00,1674259200,1.333,1.389,1.316,1.345,2288888.7929
2023-01-22 00:00:00,1674345600,1.346,1.416,1.333,1.386,1755502.4985
2023-01-23 00:00:00,1674432000,1.386,1.45,1.37,1.422,1818957.7543
2023-01-24 00:00:00,1674518400,1.421,1.583,1.391,1.413,6389577.9535
2023-01-25 00:00:00,1674604800,1.413,1.475,1.351,1.443,1572986.643
2023-01-26 00:00:00,1674691200,1.443,1.475,1.415,1.465,1413392.4301
2023-01-27 00:00:00,1674777600,1.466,1.515,1.424,1.511,1574561.2857
2023-01-28 00:00:00,1674864000,1.511,1.536,1.448,1.457,1113994.1572
2023-01-29 00:00:00,1674950400,1.457,1.538,1.445,1.529,1812840.4717
2023-01-30 00:00:00,1675036800,1.529,1.536,1.358,1.379,2103659.0562
2023-01-31 00:00:00,1675123200,1.38,1.42,1.356,1.399,1970160.7525
2023-02-01 00:00:00,1675209600,1.399,1.399,1.399,1.399,0.0
