datetime,timestamp,open,high,low,close,volume
2020-06-22 00:00:00,1592784000,0.5227,1.5,0.5227,0.741,7677360.502952
2020-06-23 00:00:00,1592870400,0.7401,0.8066,0.6863,0.7346,3025785.558373
2020-06-24 00:00:00,1592956800,0.7347,0.7956,0.7033,0.7154,1593660.239585
2020-06-25 00:00:00,1593043200,0.7153,0.7529,0.6722,0.7149,860033.138424
2020-06-26 00:00:00,1593129600,0.7149,0.7289,0.68,0.7159,652525.888529
2020-06-27 00:00:00,1593216000,0.716,0.7247,0.6051,0.6526,490049.124529
2020-06-28 00:00:00,1593302400,0.6525,0.68,0.6166,0.6565,236526.740285
2020-06-29 00:00:00,1593388800,0.6592,0.6965,0.6353,0.653,331896.992292
2020-06-30 00:00:00,1593475200,0.6529,0.6572,0.6312,0.6397,170333.303285
2020-07-01 00:00:00,1593561600,0.6396,0.6582,0.6267,0.6565,195667.539694
2020-07-02 00:00:00,1593648000,0.6565,0.69,0.6105,0.661,615676.704005
2020-07-03 00:00:00,1593734400,0.6611,0.6799,0.6401,0.6602,290360.221782
2020-07-04 00:00:00,1593820800,0.6602,0.6674,0.6351,0.6532,215471.411856
2020-07-05 00:00:00,1593907200,0.6507,0.6624,0.6205,0.6448,199120.464037
2020-07-06 00:00:00,1593993600,0.6444,0.78,0.633,0.7449,1627330.036601
2020-07-07 00:00:00,1594080000,0.7386,0.793,0.7306,0.758,1304615.786188
2020-07-08 00:00:00,1594166400,0.7581,0.7925,0.7451,0.7584,1019146.795841
2020-07-09 00:00:00,1594252800,0.7564,0.7584,0.6358,0.6842,1292069.290307
2020-07-10 00:00:00,1594339200,0.6839,0.755,0.6682,0.7155,1166262.652556
2020-07-11 00:00:00,1594425600,0.7159,0.7248,0.6792,0.7077,669225.535018
2020-07-12 00:00:00,1594512000,0.7093,0.7269,0.6603,0.6929,897084.534119
2020-07-13 00:00:00,1594598400,0.6927,0.73,0.6741,0.7138,739085.801438
2020-07-14 00:00:00,1594684800,0.7138,0.7546,0.6864,0.7479,901200.21859
2020-07-15 00:00:00,1594771200,0.7479,0.7711,0.7104,0.7471,1040069.125722
