datetime,timestamp,open,high,low,close,volume
2023-01-01 00:00:00,1672531200,1.438,1.486,1.426,1.477,1729974.6565
2023-01-02 00:00:00,1672617600,1.476,1.532,1.451,1.509,2496889.1228
2023-01-03 00:00:00,1672704000,1.51,1.543,1.499,1.53,1770327.9703
2023-01-04 00:00:00,1672790400,1.53,1.649,1.517,1.605,3543891.3662
2023-01-05 00:00:00,1672876800,1.605,1.619,1.529,1.539,4167417.8153
2023-01-06 00:00:00,1672963200,1.539,1.641,1.525,1.628,4410572.0493
2023-01-07 00:00:00,1673049600,1.628,1.77,1.617,1.681,7033512.0933
2023-01-08 00:00:00,1673136000,1.683,1.775,1.643,1.767,3183171.5865
2023-01-09 00:00:00,1673222400,1.767,1.835,1.739,1.764,5569427.9667
2023-01-10 00:00:00,1673308800,1.763,1.815,1.736,1.783,2593037.0036
2023-01-11 00:00:00,1673395200,1.781,1.822,1.703,1.817,2209136.9321
2023-01-12 00:00:00,1673481600,1.818,1.856,1.744,1.824,3888280.7903
2023-01-13 00:00:00,1673568000,1.825,1.947,1.8,1.922,5636332.4447
2023-01-14 00:00:00,1673654400,1.922,2.338,1.922,2.097,15134990.0803
2023-01-15 00:00:00,1673740800,2.098,2.257,1.996,2.173,8368318.1809
2023-01-16 00:00:00,1673827200,2.173,2.315,2.083,2.127,6910728.1564
2023-01-17 00:00:00,1673913600,2.126,2.396,2.088,2.222,10470682.1018
2023-01-18 00:00:00,1674000000,2.223,2.31,1.991,2.059,9736559.0936
2023-01-19 00:00:00,1674086400,2.057,2.397,2.051,2.259,8668322.7344
2023-01-20 00:00:00,1674172800,2.259,2.73,2.223,2.595,18200613.8272
2023-01-21 00:00:00,1674259200,2.595,2.674,2.52,2.54,7633929.9336
2023-01-22 00:00:00,1674345600,2.54,2.668,2.485,2.595,4898338.728
2023-01-23 00:00:00,1674432000,2.594,2.685,2.5,2.57,4234753.3648
2023-01-24 00:00:00,1674518400,2.571,2.628,2.292,2.334,4813009.2807
2023-01-25 00:00:00,1674604800,2.333,2.564,2.277,2.472,8419489.0112
2023-01-26 00:00:00,1674691200,2.473,2.499,2.351,2.409,5195132.0266
2023-01-27 00:00:00,1674777600,2.409,2.627,2.322,2.542,6139746.4755
2023-01-28 00:00:00,1674864000,2.541,2.574,2.42,2.448,3286657.5497
2023-01-29 00:00:00,1674950400,2.45,2.506,2.422,2.488,4278200.7877
2023-01-30 00:00:00,1675036800,2.487,2.509,2.183,2.289,5180690.8048
2023-01-31 00:00:00,1675123200,2.289,2.354,2.248,2.302,3761851.9018
2023-02-01 00:00:00,1675209600,2.303,2.738,2.189,2.665,11529109.9929
2023-02-02 00:00:00,1675296000,2.666,2.75,2.491,2.51,13648471.2576
2023-02-03 00:00:00,1675382400,2.511,2.655,2.458,2.563,9385783.1426
2023-02-04 00:00:00,1675468800,2.562,2.9,2.517,2.709,20625139.8417
2023-02-05 00:00:00,1675555200,2.709,2.761,2.493,2.56,11972858.466
2023-02-06 00:00:00,1675641600,2.562,2.915,2.461,2.784,16473223.5529
2023-02-07 00:00:00,1675728000,2.785,2.957,2.757,2.919,22604932.5042
2023-02-08 00:00:00,1675814400,2.92,3.1,2.57,2.689,17037044.5958
2023-02-09 00:00:00,1675900800,2.689,2.718,2.282,2.376,10259784.6196
2023-02-10 00:00:00,1675987200,2.377,2.497,2.323,2.395,9936458.873
2023-02-11 00:00:00,1676073600,2.395,2.456,2.362,2.445,3238797.0827
2023-02-12 00:00:00,1676160000,2.445,2.445,2.445,2.445,0.0
