datetime,timestamp,open,high,low,close,volume
2023-01-01 00:00:00,1672531200,0.925,0.945,0.913,0.942,2936904.7651
2023-01-02 00:00:00,1672617600,0.941,0.972,0.922,0.958,6843184.8793
2023-01-03 00:00:00,1672704000,0.958,0.985,0.95,0.965,5940690.0144
2023-01-04 00:00:00,1672790400,0.965,1.013,0.963,0.991,5626470.4278
2023-01-05 00:00:00,1672876800,0.99,1.009,0.969,0.986,7512560.2769
2023-01-06 00:00:00,1672963200,0.985,1.054,0.956,1.043,7109710.2581
2023-01-07 00:00:00,1673049600,1.044,1.073,1.026,1.068,6666329.9205
2023-01-08 00:00:00,1673136000,1.068,1.1,1.043,1.091,12204057.8263
2023-01-09 00:00:00,1673222400,1.091,1.137,1.077,1.078,13627845.8004
2023-01-10 00:00:00,1673308800,1.079,1.148,1.063,1.119,13490051.7975
2023-01-11 00:00:00,1673395200,1.119,1.125,1.049,1.095,8603413.3812
2023-01-12 00:00:00,1673481600,1.095,1.144,1.062,1.137,16645842.5672
2023-01-13 00:00:00,1673568000,1.137,1.223,1.096,1.206,20274914.1559
2023-01-14 00:00:00,1673654400,1.205,1.33,1.18,1.245,30719152.4983
2023-01-15 00:00:00,1673740800,1.245,1.334,1.21,1.287,18632330.932
2023-01-16 00:00:00,1673827200,1.286,1.337,1.192,1.254,18611353.8279
2023-01-17 00:00:00,1673913600,1.254,1.296,1.225,1.229,9783121.1227
2023-01-18 00:00:00,1674000000,1.229,1.318,1.127,1.178,18235354.0962
2023-01-19 00:00:00,1674086400,1.177,1.202,1.147,1.191,7259666.3521
2023-01-20 00:00:00,1674172800,1.191,1.316,1.165,1.307,11650406.099
2023-01-21 00:00:00,1674259200,1.307,1.358,1.265,1.298,15661805.491
2023-01-22 00:00:00,1674345600,1.299,1.417,1.278,1.337,17013423.6452
2023-01-23 00:00:00,1674432000,1.337,1.382,1.314,1.339,11630627.6313
2023-01-24 00:00:00,1674518400,1.339,1.376,1.218,1.239,11884432.1876
2023-01-25 00:00:00,1674604800,1.239,1.324,1.214,1.296,10863330.8431
2023-01-26 00:00:00,1674691200,1.297,1.338,1.271,1.32,11626110.9684
2023-01-27 00:00:00,1674777600,1.321,1.36,1.266,1.349,10779854.8936
2023-01-28 00:00:00,1674864000,1.35,1.365,1.278,1.291,6427479.1836
2023-01-29 00:00:00,1674950400,1.291,1.367,1.275,1.35,8011174.8348
2023-01-30 00:00:00,1675036800,1.349,1.364,1.217,1.246,11731725.2405
2023-01-31 00:00:00,1675123200,1.245,1.28,1.234,1.264,6180652.1278
2023-02-01 00:00:00,1675209600,1.264,1.318,1.19,1.303,12559795.1771
2023-02-02 00:00:00,1675296000,1.303,1.629,1.303,1.519,43038025.1484
2023-02-03 00:00:00,1675382400,1.52,1.638,1.468,1.55,33581638.5541
2023-02-04 00:00:00,1675468800,1.549,1.58,1.494,1.504,15009319.7925
2023-02-05 00:00:00,1675555200,1.504,1.536,1.407,1.431,15873849.0217
2023-02-06 00:00:00,1675641600,1.432,1.554,1.391,1.43,18097570.1589
2023-02-07 00:00:00,1675728000,1.43,1.514,1.427,1.503,19314972.3412
2023-02-08 00:00:00,1675814400,1.502,1.548,1.375,1.443,15738183.4716
2023-02-09 00:00:00,1675900800,1.443,1.47,1.22,1.262,16366368.4235
2023-02-10 00:00:00,1675987200,1.261,1.319,1.234,1.294,14574484.3968
2023-02-11 00:00:00,1676073600,1.294,1.33,1.269,1.313,6542597.9833
2023-02-12 00:00:00,1676160000,1.312,1.324,1.241,1.267,6504347.1294
2023-02-13 00:00:00,1676246400,1.267,1.287,1.205,1.284,11721909.1442
2023-02-14 00:00:00,1676332800,1.283,1.326,1.244,1.308,8212875.3662
2023-02-15 00:00:00,1676419200,1.308,1.42,1.283,1.418,14922390.3729
2023-02-16 00:00:00,1676505600,1.418,1.439,1.315,1.324,13854471.6752
2023-02-17 00:00:00,1676592000,1.324,1.431,1.314,1.411,9547987.4289
2023-02-18 00:00:00,1676678400,1.41,1.471,1.402,1.434,10996883.2338
2023-02-19 00:00:00,1676764800,1.434,1.519,1.411,1.419,14464005.0518
2023-02-20 00:00:00,1676851200,1.421,1.512,1.38,1.502,12251468.7112
2023-02-21 00:00:00,1676937600,1.503,1.515,1.396,1.451,12955257.4814
2023-02-22 00:00:00,1677024000,1.451,1.472,1.337,1.395,9768050.6919
2023-02-23 00:00:00,1677110400,1.395,1.488,1.382,1.478,13908274.0565
2023-02-24 00:00:00,1677196800,1.478,1.515,1.332,1.36,15691960.035
2023-02-25 00:00:00,1677283200,1.36,1.383,1.272,1.318,6961818.8524
2023-02-26 00:00:00,1677369600,1.318,1.349,1.309,1.347,5208303.617
2023-02-27 00:00:00,1677456000,1.346,1.366,1.275,1.301,8783922.517
2023-02-28 00:00:00,1677542400,1.3,1.339,1.258,1.276,7887497.5212
2023-03-01 00:00:00,1677628800,1.276,1.364,1.264,1.36,6683161.0308
2023-03-02 00:00:00,1677715200,1.36,1.369,1.287,1.314,7761030.0648
2023-03-03 00:00:00,1677801600,1.314,1.315,1.164,1.24,9808824.5396
2023-03-04 00:00:00,1677888000,1.24,1.25,1.159,1.201,5185561.9663
2023-03-05 00:00:00,1677974400,1.201,1.229,1.192,1.202,4068198.0258
2023-03-06 00:00:00,1678060800,1.202,1.225,1.172,1.216,6237017.9268
2023-03-07 00:00:00,1678147200,1.216,1.238,1.155,1.19,6670816.2273
2023-03-08 00:00:00,1678233600,1.19,1.199,1.104,1.114,6437782.694
2023-03-09 00:00:00,1678320000,1.115,1.168,1.031,1.058,9042026.7442
2023-03-10 00:00:00,1678406400,1.058,1.099,0.997,1.089,12575436.6613
2023-03-11 00:00:00,1678492800,1.088,1.106,1.015,1.072,10245063.9253
2023-03-12 00:00:00,1678579200,1.071,1.17,1.051,1.163,14362758.7592
2023-03-13 00:00:00,1678665600,1.164,1.288,1.108,1.227,20660175.8283
2023-03-14 00:00:00,1678752000,1.228,1.287,1.18,1.248,19100262.8648
2023-03-15 00:00:00,1678838400,1.247,1.277,1.1,1.126,14975714.2527
2023-03-16 00:00:00,1678924800,1.126,1.185,1.109,1.167,9535064.8332
2023-03-17 00:00:00,1679011200,1.165,1.256,1.149,1.252,10635507.3227
2023-03-18 00:00:00,1679097600,1.253,1.3,1.192,1.201,9281027.3146
2023-03-19 00:00:00,1679184000,1.201,1.262,1.197,1.224,5223486.7233
2023-03-20 00:00:00,1679270400,1.225,1.249,1.144,1.162,7161594.1867
2023-03-21 00:00:00,1679356800,1.162,1.219,1.127,1.171,12423624.0808
2023-03-22 00:00:00,1679443200,1.172,1.177,1.029,1.05,15111726.5466
2023-03-23 00:00:00,1679529600,1.05,1.12,1.045,1.075,15377187.1216
2023-03-24 00:00:00,1679616000,1.076,1.085,1.014,1.031,15009385.1564
2023-03-25 00:00:00,1679702400,1.031,1.044,0.998,1.018,13517277.1575
2023-03-26 00:00:00,1679788800,1.018,1.06,1.011,1.053,7596523.4354
2023-03-27 00:00:00,1679875200,1.054,1.063,0.968,1.008,12527335.2983
2023-03-28 00:00:00,1679961600,1.007,1.054,0.992,1.05,8248487.5814
2023-03-29 00:00:00,1680048000,1.05,1.091,1.046,1.083,10974099.63
2023-03-30 00:00:00,1680134400,1.082,1.1,1.042,1.078,6084944.5737
2023-03-31 00:00:00,1680220800,1.078,1.109,1.056,1.104,5356660.1229
2023-04-01 00:00:00,1680307200,1.103,1.126,1.077,1.093,4585592.9476
2023-04-02 00:00:00,1680393600,1.094,1.109,1.043,1.058,4529287.8047
2023-04-03 00:00:00,1680480000,1.057,1.102,1.019,1.084,6051953.332
2023-04-04 00:00:00,1680566400,1.085,1.16,1.075,1.136,7457097.2457
2023-04-05 00:00:00,1680652800,1.137,1.162,1.116,1.13,4254871.2247
2023-04-06 00:00:00,1680739200,1.129,1.145,1.11,1.144,3754712.5668
2023-04-07 00:00:00,1680825600,1.144,1.149,1.097,1.108,3982220.2947
2023-04-08 00:00:00,1680912000,1.108,1.133,1.088,1.102,4785083.782
2023-04-09 00:00:00,1680998400,1.101,1.127,1.059,1.112,6773327.5004
2023-04-10 00:00:00,1681084800,1.113,1.15,1.093,1.147,4684606.3761
2023-04-11 00:00:00,1681171200,1.147,1.157,1.132,1.139,4513559.9654
2023-04-12 00:00:00,1681257600,1.138,1.145,1.093,1.125,6253876.036
2023-04-13 00:00:00,1681344000,1.125,1.172,1.112,1.169,4238744.5308
2023-04-14 00:00:00,1681430400,1.169,1.2,1.148,1.189,7469661.6129
2023-04-15 00:00:00,1681516800,1.188,1.192,1.167,1.18,3865493.3873
2023-04-16 00:00:00,1681603200,1.179,1.217,1.161,1.197,3687514.7538
2023-04-17 00:00:00,1681689600,1.198,1.2,1.155,1.165,4970499.4552
2023-04-18 00:00:00,1681776000,1.166,1.221,1.157,1.209,5503691.5833
2023-04-19 00:00:00,1681862400,1.209,1.209,1.077,1.104,9940085.8436
2023-04-20 00:00:00,1681948800,1.104,1.113,1.047,1.071,4996861.5827
2023-04-21 00:00:00,1682035200,1.071,1.081,1.014,1.027,3418643.7824
2023-04-22 00:00:00,1682121600,1.027,1.054,1.022,1.051,2478516.793
2023-04-23 00:00:00,1682208000,1.051,1.062,1.018,1.045,3289459.3652
2023-04-24 00:00:00,1682294400,1.045,1.06,1.029,1.048,3262574.3798
2023-04-25 00:00:00,1682380800,1.048,1.068,1.016,1.065,3925228.0558
2023-04-26 00:00:00,1682467200,1.066,1.095,0.98,1.031,8719277.2438
2023-04-27 00:00:00,1682553600,1.031,1.031,1.031,1.031,0.0
