datetime,timestamp,open,high,low,close,volume
2020-01-01 00:00:00,1577836800,0.1719,0.185,0.1714,0.1758,92795.742675
2020-01-02 00:00:00,1577923200,0.1759,0.1817,0.1705,0.1732,112008.981408
2020-01-03 00:00:00,1578009600,0.1733,0.1899,0.1709,0.1795,166720.374001
2020-01-04 00:00:00,1578096000,0.1795,0.1825,0.173,0.1773,118674.061062
2020-01-05 00:00:00,1578182400,0.1773,0.1812,0.1751,0.1759,85374.108209
2020-01-06 00:00:00,1578268800,0.1758,0.1825,0.175,0.1802,123458.826683
2020-01-07 00:00:00,1578355200,0.1803,0.1839,0.1678,0.1701,295560.052065
2020-01-08 00:00:00,1578441600,0.1701,0.1757,0.1681,0.1742,166448.060697
2020-01-09 00:00:00,1578528000,0.1729,0.1742,0.1661,0.1678,104180.671926
2020-01-10 00:00:00,1578614400,0.1678,0.172,0.1666,0.1709,112501.687939
2020-01-11 00:00:00,1578700800,0.171,0.1715,0.1658,0.1674,152815.007831
2020-01-12 00:00:00,1578787200,0.1674,0.173,0.1669,0.1691,140073.394247
2020-01-13 00:00:00,1578873600,0.1692,0.172,0.166,0.1703,125888.72557
2020-01-14 00:00:00,1578960000,0.1703,0.1781,0.1675,0.1768,282937.605433
2020-01-15 00:00:00,1579046400,0.1768,0.1849,0.1723,0.1844,341960.880407
2020-01-16 00:00:00,1579132800,0.1844,0.1915,0.1764,0.186,339259.663705
2020-01-17 00:00:00,1579219200,0.1864,0.1943,0.1827,0.1923,286978.167806
2020-01-18 00:00:00,1579305600,0.1922,0.2037,0.1899,0.197,659383.935759
2020-01-19 00:00:00,1579392000,0.197,0.1999,0.1774,0.1814,177447.614686
2020-01-20 00:00:00,1579478400,0.1813,0.1926,0.1766,0.1898,175661.411934
2020-01-21 00:00:00,1579564800,0.1896,0.1939,0.1839,0.1896,143195.059756
2020-01-22 00:00:00,1579651200,0.1899,0.1903,0.1825,0.1849,104356.331427
2020-01-23 00:00:00,1579737600,0.1841,0.1905,0.1753,0.1838,183004.89861
2020-01-24 00:00:00,1579824000,0.1838,0.1985,0.1771,0.1921,404716.035688
2020-01-25 00:00:00,1579910400,0.193,0.2019,0.185,0.1953,213442.369046
2020-01-26 00:00:00,1579996800,0.1952,0.2024,0.1912,0.193,185116.48414
2020-01-27 00:00:00,1580083200,0.1929,0.1945,0.1874,0.1874,227411.591008
2020-01-28 00:00:00,1580169600,0.1878,0.1915,0.1847,0.1869,175352.917916
2020-01-29 00:00:00,1580256000,0.187,0.196,0.185,0.1924,146683.732013
2020-01-30 00:00:00,1580342400,0.1923,0.1991,0.1901,0.1935,227113.261372
2020-01-31 00:00:00,1580428800,0.1935,0.237,0.1921,0.2262,678692.452794
2020-02-01 00:00:00,1580515200,0.2267,0.2474,0.2141,0.2278,652091.985164
2020-02-02 00:00:00,1580601600,0.2271,0.267,0.225,0.2529,561213.636445
2020-02-03 00:00:00,1580688000,0.2527,0.2726,0.2434,0.2665,536229.293109
2020-02-04 00:00:00,1580774400,0.2671,0.3659,0.2663,0.3351,2784909.057888
2020-02-05 00:00:00,1580860800,0.3352,0.3367,0.278,0.3009,1166413.692324
2020-02-06 00:00:00,1580947200,0.3001,0.3222,0.2829,0.2901,1040781.196353
2020-02-07 00:00:00,1581033600,0.2901,0.3068,0.2826,0.2946,639817.921978
2020-02-08 00:00:00,1581120000,0.2946,0.2955,0.2639,0.2763,702043.872
2020-02-09 00:00:00,1581206400,0.277,0.3285,0.2712,0.3124,926109.954328
2020-02-10 00:00:00,1581292800,0.3124,0.3245,0.2856,0.2882,650452.170725
2020-02-11 00:00:00,1581379200,0.2881,0.31,0.2795,0.304,589520.971796
2020-02-12 00:00:00,1581465600,0.3039,0.3325,0.3025,0.3256,795997.847051
2020-02-13 00:00:00,1581552000,0.3256,0.3267,0.2503,0.2978,606782.368699
2020-02-14 00:00:00,1581638400,0.2984,0.318,0.29,0.312,404826.145888
2020-02-15 00:00:00,1581724800,0.312,0.3231,0.2757,0.2837,372881.516978
2020-02-16 00:00:00,1581811200,0.2837,0.2995,0.2445,0.2711,334338.631749
2020-02-17 00:00:00,1581897600,0.2704,0.2736,0.2405,0.263,199245.851442
2020-02-18 00:00:00,1581984000,0.2631,0.2852,0.2516,0.2829,265764.772618
2020-02-19 00:00:00,1582070400,0.2829,0.2998,0.2178,0.2492,509912.208552
2020-02-20 00:00:00,1582156800,0.247,0.2592,0.2414,0.2583,149335.649108
2020-02-21 00:00:00,1582243200,0.2585,0.2905,0.2552,0.2829,417960.018427
2020-02-22 00:00:00,1582329600,0.2827,0.2856,0.2639,0.2702,165762.251935
2020-02-23 00:00:00,1582416000,0.2703,0.3087,0.2696,0.3002,460937.993884
2020-02-24 00:00:00,1582502400,0.2999,0.3051,0.251,0.2649,416646.226051
2020-02-25 00:00:00,1582588800,0.2637,0.2652,0.2329,0.2382,269132.536989
2020-02-26 00:00:00,1582675200,0.2376,0.2541,0.2131,0.2339,265559.312411
2020-02-27 00:00:00,1582761600,0.232,0.2544,0.2197,0.232,191173.678682
2020-02-28 00:00:00,1582848000,0.2326,0.24,0.2131,0.226,138231.169926
2020-02-29 00:00:00,1582934400,0.2266,0.2316,0.2138,0.2138,95099.801294
2020-03-01 00:00:00,1583020800,0.2142,0.2251,0.2102,0.2138,68445.537786
2020-03-02 00:00:00,1583107200,0.2126,0.234,0.2118,0.2297,109368.567552
2020-03-03 00:00:00,1583193600,0.2307,0.2346,0.2225,0.2265,140834.047892
2020-03-04 00:00:00,1583280000,0.2264,0.2376,0.2211,0.236,194611.293698
2020-03-05 00:00:00,1583366400,0.2361,0.2674,0.2361,0.2464,413732.384455
2020-03-06 00:00:00,1583452800,0.2463,0.257,0.2431,0.2494,161235.274799
2020-03-07 00:00:00,1583539200,0.2492,0.256,0.2321,0.2346,208300.372742
2020-03-08 00:00:00,1583625600,0.2329,0.2336,0.1971,0.199,253613.945971
2020-03-09 00:00:00,1583712000,0.2001,0.206,0.1864,0.202,151325.119984
2020-03-10 00:00:00,1583798400,0.202,0.2082,0.1911,0.1989,104752.730682
2020-03-11 00:00:00,1583884800,0.2,0.2026,0.1807,0.192,121445.408882
2020-03-12 00:00:00,1583971200,0.1929,0.1931,0.0866,0.0996,277861.747757
2020-03-13 00:00:00,1584057600,0.1021,0.1261,0.0698,0.1146,141459.619593
2020-03-14 00:00:00,1584144000,0.1139,0.1219,0.1067,0.1095,52396.644051
2020-03-15 00:00:00,1584230400,0.109,0.1278,0.1083,0.1149,130341.545368
2020-03-16 00:00:00,1584316800,0.1134,0.1136,0.088,0.0953,145581.319398
2020-03-17 00:00:00,1584403200,0.0961,0.1078,0.0961,0.1051,122715.341318
2020-03-18 00:00:00,1584489600,0.1051,0.1082,0.0972,0.1082,40705.844992
2020-03-19 00:00:00,1584576000,0.1082,0.128,0.1061,0.1225,148444.007896
2020-03-20 00:00:00,1584662400,0.124,0.1435,0.1112,0.1206,167368.263478
2020-03-21 00:00:00,1584748800,0.1188,0.129,0.1121,0.1222,47572.650517
2020-03-22 00:00:00,1584835200,0.1219,0.1283,0.1102,0.111,67552.382195
2020-03-23 00:00:00,1584921600,0.1101,0.1198,0.1055,0.1195,50159.571863
2020-03-24 00:00:00,1585008000,0.1198,0.1234,0.1169,0.1213,43147.903315
2020-03-25 00:00:00,1585094400,0.1186,0.1252,0.1164,0.1223,21274.298319
2020-03-26 00:00:00,1585180800,0.1224,0.13,0.1199,0.1296,80088.278971
2020-03-27 00:00:00,1585267200,0.1296,0.132,0.1161,0.1172,89144.097692
2020-03-28 00:00:00,1585353600,0.1161,0.1173,0.111,0.1156,84867.465299
2020-03-29 00:00:00,1585440000,0.1156,0.117,0.1097,0.1111,46945.261935
2020-03-30 00:00:00,1585526400,0.1102,0.1373,0.1099,0.125,308775.964827
2020-03-31 00:00:00,1585612800,0.1248,0.1357,0.1228,0.1244,162023.212068
2020-04-01 00:00:00,1585699200,0.1244,0.1383,0.1202,0.1336,304350.014908
2020-04-02 00:00:00,1585785600,0.134,0.1421,0.1295,0.1332,157633.883334
