datetime,timestamp,open,high,low,close,volume
2022-01-01 00:00:00,1640995200,1.309,1.38,1.306,1.38,30938756.22
2022-01-02 00:00:00,1641081600,1.38,1.391,1.343,1.378,24852255.86
2022-01-03 00:00:00,1641168000,1.378,1.378,1.311,1.319,32705952.79
2022-01-04 00:00:00,1641254400,1.319,1.351,1.296,1.309,35077542.83
2022-01-05 00:00:00,1641340800,1.309,1.352,1.195,1.23,55246989.39
2022-01-06 00:00:00,1641427200,1.23,1.297,1.187,1.28,110854749.79
2022-01-07 00:00:00,1641513600,1.28,1.285,1.19,1.209,189441984.15
2022-01-08 00:00:00,1641600000,1.209,1.254,1.129,1.183,165569511.51
2022-01-09 00:00:00,1641686400,1.183,1.206,1.148,1.17,113464282.35
2022-01-10 00:00:00,1641772800,1.17,1.181,1.072,1.124,168545001.67
2022-01-11 00:00:00,1641859200,1.124,1.196,1.123,1.188,106419734.98
2022-01-12 00:00:00,1641945600,1.188,1.312,1.187,1.312,154607463.97
2022-01-13 00:00:00,1642032000,1.312,1.354,1.228,1.233,174595716.62
2022-01-14 00:00:00,1642118400,1.233,1.309,1.22,1.293,151292162.59
2022-01-15 00:00:00,1642204800,1.293,1.319,1.252,1.292,77115522.5
2022-01-16 00:00:00,1642291200,1.292,1.423,1.287,1.412,221964740.14
2022-01-17 00:00:00,1642377600,1.412,1.605,1.387,1.603,503785328.58
2022-01-18 00:00:00,1642464000,1.603,1.638,1.412,1.459,414410296.23
2022-01-19 00:00:00,1642550400,1.459,1.534,1.327,1.337,348583535.19
2022-01-20 00:00:00,1642636800,1.337,1.427,1.25,1.26,314221350.23
2022-01-21 00:00:00,1642723200,1.26,1.287,1.101,1.121,444147412.08
2022-01-22 00:00:00,1642809600,1.121,1.155,0.9262,1.071,525240338.18
2022-01-23 00:00:00,1642896000,1.071,1.169,1.052,1.125,270173995.76
2022-01-24 00:00:00,1642982400,1.125,1.125,0.9517,1.067,405885523.7
2022-01-25 00:00:00,1643068800,1.067,1.075,0.9927,1.042,190782124.58
2022-01-26 00:00:00,1643155200,1.042,1.158,1.023,1.078,316419472.86
2022-01-27 00:00:00,1643241600,1.078,1.08,1.003,1.043,192245211.63
2022-01-28 00:00:00,1643328000,1.043,1.06,1.01,1.049,139124250.93
2022-01-29 00:00:00,1643414400,1.049,1.083,1.039,1.06,97265325.53
2022-01-30 00:00:00,1643500800,1.06,1.078,1.024,1.036,79973638.56
2022-01-31 00:00:00,1643587200,1.036,1.059,1.01,1.052,129179460.74
2022-02-01 00:00:00,1643673600,1.052,1.097,1.035,1.096,141437864.07
2022-02-02 00:00:00,1643760000,1.096,1.103,1.024,1.027,137218279.14
2022-02-03 00:00:00,1643846400,1.027,1.062,1.018,1.061,107295538.72
2022-02-04 00:00:00,1643932800,1.061,1.14,1.046,1.139,134691680.22
2022-02-05 00:00:00,1644019200,1.139,1.178,1.097,1.126,132961437.54
2022-02-06 00:00:00,1644105600,1.126,1.151,1.099,1.144,79703621.02
2022-02-07 00:00:00,1644192000,1.144,1.209,1.127,1.199,204634466.86
2022-02-08 00:00:00,1644278400,1.199,1.264,1.134,1.176,215825790.41
2022-02-09 00:00:00,1644364800,1.176,1.215,1.153,1.195,130529768.43
2022-02-10 00:00:00,1644451200,1.195,1.225,1.145,1.152,161150238.73
2022-02-11 00:00:00,1644537600,1.152,1.164,1.068,1.08,127702143.7
2022-02-12 00:00:00,1644624000,1.08,1.093,1.03,1.059,111318103.33
2022-02-13 00:00:00,1644710400,1.059,1.077,1.033,1.043,76047314.34
2022-02-14 00:00:00,1644796800,1.043,1.055,1.019,1.05,101383281.6
2022-02-15 00:00:00,1644883200,1.05,1.115,1.049,1.109,116941025.1
2022-02-16 00:00:00,1644969600,1.109,1.112,1.066,1.083,80614877.77
2022-02-17 00:00:00,1645056000,1.083,1.094,1.01,1.021,96362844.26
2022-02-18 00:00:00,1645142400,1.021,1.043,0.9851,0.9959,121832844.95
