datetime,timestamp,open,high,low,close,volume
2023-01-01 00:00:00,1672531200,1.406,1.413,1.382,1.403,189129.4
2023-01-02 00:00:00,1672617600,1.403,1.439,1.369,1.424,316894.32
2023-01-03 00:00:00,1672704000,1.424,1.445,1.389,1.43,505809.5
2023-01-04 00:00:00,1672790400,1.43,1.529,1.429,1.481,1242793.52
2023-01-05 00:00:00,1672876800,1.481,1.508,1.422,1.437,493895.56
2023-01-06 00:00:00,1672963200,1.437,1.473,1.385,1.464,707777.17
2023-01-07 00:00:00,1673049600,1.464,1.478,1.447,1.468,224468.13
2023-01-08 00:00:00,1673136000,1.468,1.545,1.446,1.529,473593.29
2023-01-09 00:00:00,1673222400,1.529,1.686,1.528,1.616,1833483.16
2023-01-10 00:00:00,1673308800,1.616,1.687,1.572,1.625,916531.68
2023-01-11 00:00:00,1673395200,1.625,1.645,1.524,1.622,891575.66
2023-01-12 00:00:00,1673481600,1.622,1.678,1.566,1.67,1324552.52
2023-01-13 00:00:00,1673568000,1.67,1.744,1.641,1.739,998929.73
2023-01-14 00:00:00,1673654400,1.739,2.064,1.739,1.882,3031265.7
2023-01-15 00:00:00,1673740800,1.882,1.908,1.799,1.852,1597309.14
2023-01-16 00:00:00,1673827200,1.852,2.011,1.807,1.892,1577763.71
2023-01-17 00:00:00,1673913600,1.892,1.921,1.819,1.822,886457.16
2023-01-18 00:00:00,1674000000,1.822,1.909,1.68,1.69,2201579.54
2023-01-19 00:00:00,1674086400,1.69,1.745,1.677,1.73,269210.81
2023-01-20 00:00:00,1674172800,1.73,1.94,1.709,1.938,585282.57
2023-01-21 00:00:00,1674259200,1.938,2.009,1.859,1.88,1160639.67
2023-01-22 00:00:00,1674345600,1.88,2.092,1.876,1.933,1599091.55
2023-01-23 00:00:00,1674432000,1.933,2.015,1.906,1.943,1211449.03
2023-01-24 00:00:00,1674518400,1.943,2.058,1.788,1.81,1245232.64
2023-01-25 00:00:00,1674604800,1.81,1.987,1.775,1.93,1145373.0
2023-01-26 00:00:00,1674691200,1.93,2.261,1.883,2.221,3061680.67
2023-01-27 00:00:00,1674777600,2.221,2.221,2.014,2.095,2400666.54
2023-01-28 00:00:00,1674864000,2.095,2.102,1.976,2.006,703685.71
2023-01-29 00:00:00,1674950400,2.006,2.091,1.998,2.077,811510.21
2023-01-30 00:00:00,1675036800,2.077,2.147,1.895,2.071,2022406.17
2023-01-31 00:00:00,1675123200,2.071,2.38,2.027,2.141,5600483.39
2023-02-01 00:00:00,1675209600,2.141,2.225,1.99,2.214,2295160.86
2023-02-02 00:00:00,1675296000,2.214,2.345,2.161,2.189,2524758.03
2023-02-03 00:00:00,1675382400,2.189,2.212,2.123,2.2,820965.45
2023-02-04 00:00:00,1675468800,2.2,2.351,2.171,2.233,1993142.77
2023-02-05 00:00:00,1675555200,2.233,2.322,2.076,2.121,1516512.75
2023-02-06 00:00:00,1675641600,2.121,2.15,2.028,2.053,766980.53
2023-02-07 00:00:00,1675728000,2.053,2.262,2.053,2.245,1449910.45
2023-02-08 00:00:00,1675814400,2.245,2.311,2.162,2.221,1075785.96
2023-02-09 00:00:00,1675900800,2.221,2.319,1.838,1.88,3462626.13
2023-02-10 00:00:00,1675987200,1.88,1.941,1.834,1.882,1369481.96
2023-02-11 00:00:00,1676073600,1.882,1.949,1.848,1.947,270172.0
2023-02-12 00:00:00,1676160000,1.947,1.951,1.832,1.863,545383.93
2023-02-13 00:00:00,1676246400,1.863,1.883,1.731,1.846,802304.36
2023-02-14 00:00:00,1676332800,1.846,2.002,1.792,1.895,1031744.72
2023-02-15 00:00:00,1676419200,1.895,2.027,1.857,2.026,996516.3
2023-02-16 00:00:00,1676505600,2.026,2.104,1.908,1.919,955254.3
2023-02-17 00:00:00,1676592000,1.919,2.074,1.911,2.052,684444.54
2023-02-18 00:00:00,1676678400,2.052,2.179,2.023,2.104,2705416.41
2023-02-19 00:00:00,1676764800,2.104,2.164,2.05,2.078,1243026.2
2023-02-20 00:00:00,1676851200,2.078,2.273,2.059,2.252,1859617.99
2023-02-21 00:00:00,1676937600,2.252,2.289,2.117,2.203,1494560.0
2023-02-22 00:00:00,1677024000,2.203,2.282,2.033,2.117,1127343.84
2023-02-23 00:00:00,1677110400,2.117,2.244,2.107,2.171,795559.69
2023-02-24 00:00:00,1677196800,2.171,2.185,1.952,2.006,791230.05
2023-02-25 00:00:00,1677283200,2.006,2.016,1.925,1.999,443932.86
2023-02-26 00:00:00,1677369600,1.999,2.076,1.972,2.017,642107.49
2023-02-27 00:00:00,1677456000,2.017,2.053,1.947,2.007,410916.67
2023-02-28 00:00:00,1677542400,2.007,2.034,1.937,1.956,635886.97
2023-03-01 00:00:00,1677628800,1.956,2.074,1.955,2.069,903914.76
2023-03-02 00:00:00,1677715200,2.069,2.093,1.958,1.987,645428.14
2023-03-03 00:00:00,1677801600,1.987,1.991,1.743,1.82,704973.57
2023-03-04 00:00:00,1677888000,1.82,1.834,1.702,1.734,86032.59
2023-03-05 00:00:00,1677974400,1.734,1.793,1.721,1.731,147539.03
2023-03-06 00:00:00,1678060800,1.731,1.763,1.679,1.733,371130.68
2023-03-07 00:00:00,1678147200,1.733,1.787,1.612,1.686,803231.09
2023-03-08 00:00:00,1678233600,1.686,1.693,1.536,1.579,605464.24
2023-03-09 00:00:00,1678320000,1.579,1.65,1.427,1.457,862115.76
2023-03-10 00:00:00,1678406400,1.457,1.482,1.351,1.468,585436.89
2023-03-11 00:00:00,1678492800,1.468,1.525,1.403,1.466,884461.86
2023-03-12 00:00:00,1678579200,1.466,1.602,1.43,1.596,337791.84
2023-03-13 00:00:00,1678665600,1.596,1.706,1.562,1.689,680954.72
2023-03-14 00:00:00,1678752000,1.689,1.836,1.639,1.772,1459353.57
2023-03-15 00:00:00,1678838400,1.772,1.815,1.585,1.601,885730.24
2023-03-16 00:00:00,1678924800,1.601,1.654,1.571,1.631,585675.94
2023-03-17 00:00:00,1679011200,1.631,1.801,1.602,1.801,499191.22
2023-03-18 00:00:00,1679097600,1.801,1.941,1.768,1.779,1435447.86
2023-03-19 00:00:00,1679184000,1.779,1.956,1.779,1.839,1182987.85
2023-03-20 00:00:00,1679270400,1.839,1.869,1.702,1.722,1250870.69
2023-03-21 00:00:00,1679356800,1.722,1.782,1.664,1.76,628041.78
2023-03-22 00:00:00,1679443200,1.76,1.775,1.601,1.642,845194.96
