datetime,timestamp,open,high,low,close,volume
2023-01-01 00:00:00,1672531200,4.3,4.384,4.274,4.368,6480331.5
2023-01-02 00:00:00,1672617600,4.368,4.53,4.317,4.493,6539301.24
2023-01-03 00:00:00,1672704000,4.493,4.541,4.47,4.525,4865994.89
2023-01-04 00:00:00,1672790400,4.525,4.686,4.524,4.629,10685560.86
2023-01-05 00:00:00,1672876800,4.629,4.646,4.545,4.623,6802698.82
2023-01-06 00:00:00,1672963200,4.623,4.71,4.551,4.681,8865635.48
2023-01-07 00:00:00,1673049600,4.681,4.709,4.64,4.661,3823960.65
2023-01-08 00:00:00,1673136000,4.661,4.822,4.601,4.81,7725090.86
2023-01-09 00:00:00,1673222400,4.81,5.08,4.804,4.885,21583843.94
2023-01-10 00:00:00,1673308800,4.885,4.974,4.823,4.915,10833675.86
2023-01-11 00:00:00,1673395200,4.915,5.14,4.827,5.129,10556151.34
2023-01-12 00:00:00,1673481600,5.129,5.267,5.011,5.224,26949935.49
2023-01-13 00:00:00,1673568000,5.224,5.425,5.163,5.408,11825618.73
2023-01-14 00:00:00,1673654400,5.408,6.491,5.394,6.035,47700905.95
2023-01-15 00:00:00,1673740800,6.035,6.073,5.785,5.921,30463672.4
2023-01-16 00:00:00,1673827200,5.921,6.093,5.631,5.818,30344706.1
2023-01-17 00:00:00,1673913600,5.818,6.191,5.712,5.961,33074107.44
2023-01-18 00:00:00,1674000000,5.961,6.218,5.617,5.643,32955846.2
2023-01-19 00:00:00,1674086400,5.643,5.849,5.627,5.802,13468701.91
2023-01-20 00:00:00,1674172800,5.802,6.301,5.75,6.242,19479319.31
2023-01-21 00:00:00,1674259200,6.242,6.453,6.03,6.228,29571094.82
2023-01-22 00:00:00,1674345600,6.228,6.449,6.085,6.206,19566290.16
2023-01-23 00:00:00,1674432000,6.206,6.808,6.197,6.567,26687698.41
2023-01-24 00:00:00,1674518400,6.567,6.711,6.116,6.185,15482112.76
2023-01-25 00:00:00,1674604800,6.185,6.568,6.017,6.393,18900273.0
2023-01-26 00:00:00,1674691200,6.393,6.563,6.316,6.469,17273741.81
2023-01-27 00:00:00,1674777600,6.469,6.618,6.274,6.58,12937125.78
2023-01-28 00:00:00,1674864000,6.58,6.656,6.331,6.409,12679348.17
2023-01-29 00:00:00,1674950400,6.409,6.705,6.347,6.609,13286698.27
2023-01-30 00:00:00,1675036800,6.609,6.654,6.033,6.187,15092873.51
2023-01-31 00:00:00,1675123200,6.187,6.327,6.142,6.258,21211868.2
2023-02-01 00:00:00,1675209600,6.258,6.494,6.046,6.459,34030904.29
2023-02-02 00:00:00,1675296000,6.459,6.913,6.45,6.53,46922490.15
2023-02-03 00:00:00,1675382400,6.53,7.123,6.505,7.008,59431840.03
2023-02-04 00:00:00,1675468800,7.008,7.074,6.825,6.871,47665533.3
2023-02-05 00:00:00,1675555200,6.871,6.897,6.513,6.641,48103735.09
2023-02-06 00:00:00,1675641600,6.641,6.788,6.433,6.488,46596656.2
2023-02-07 00:00:00,1675728000,6.488,6.949,6.478,6.946,62538053.91
2023-02-08 00:00:00,1675814400,6.946,7.015,6.618,6.754,64030512.39
2023-02-09 00:00:00,1675900800,6.754,6.976,6.098,6.232,145396896.29
2023-02-10 00:00:00,1675987200,6.232,6.31,6.119,6.193,91049737.49
2023-02-11 00:00:00,1676073600,6.193,6.297,6.166,6.278,39985784.44
2023-02-12 00:00:00,1676160000,6.278,6.389,6.066,6.187,74625699.86
2023-02-13 00:00:00,1676246400,6.187,6.247,5.876,6.147,106073841.53
2023-02-14 00:00:00,1676332800,6.147,6.265,6.004,6.229,108918271.34
2023-02-15 00:00:00,1676419200,6.229,6.624,6.155,6.612,95941256.29
2023-02-16 00:00:00,1676505600,6.612,6.753,6.316,6.332,121047882.01
2023-02-17 00:00:00,1676592000,6.332,7.425,6.303,7.297,154876687.03
2023-02-18 00:00:00,1676678400,7.297,7.386,7.119,7.232,161129116.91
2023-02-19 00:00:00,1676764800,7.232,7.87,7.182,7.463,230771081.47
2023-02-20 00:00:00,1676851200,7.463,7.579,7.275,7.557,217382913.54
2023-02-21 00:00:00,1676937600,7.557,7.576,7.122,7.249,105412224.44
2023-02-22 00:00:00,1677024000,7.249,7.266,6.887,7.187,16627885.26
2023-02-23 00:00:00,1677110400,7.187,7.382,7.017,7.095,10796535.66
2023-02-24 00:00:00,1677196800,7.095,7.142,6.475,6.615,18085401.19
2023-02-25 00:00:00,1677283200,6.615,6.648,6.345,6.544,9088043.2
2023-02-26 00:00:00,1677369600,6.544,6.727,6.504,6.694,7180420.17
2023-02-27 00:00:00,1677456000,6.694,6.781,6.493,6.578,7730171.99
2023-02-28 00:00:00,1677542400,6.578,6.595,6.279,6.349,10887742.96
2023-03-01 00:00:00,1677628800,6.349,6.595,6.316,6.535,11520421.87
2023-03-02 00:00:00,1677715200,6.535,6.559,6.224,6.334,7937537.32
2023-03-03 00:00:00,1677801600,6.334,6.337,5.792,6.036,18584886.97
2023-03-04 00:00:00,1677888000,6.036,6.054,5.741,5.915,6503521.76
2023-03-05 00:00:00,1677974400,5.915,6.06,5.896,5.978,4588406.3
2023-03-06 00:00:00,1678060800,5.978,6.041,5.866,5.918,8466320.04
2023-03-07 00:00:00,1678147200,5.918,6.014,5.74,5.84,11329331.95
2023-03-08 00:00:00,1678233600,5.84,5.931,5.507,5.595,17093916.9
2023-03-09 00:00:00,1678320000,5.595,5.797,5.249,5.383,17352287.31
2023-03-10 00:00:00,1678406400,5.383,5.601,5.151,5.567,23029085.82
2023-03-11 00:00:00,1678492800,5.567,5.749,5.284,5.512,16331689.93
2023-03-12 00:00:00,1678579200,5.512,5.94,5.419,5.932,9895956.94
2023-03-13 00:00:00,1678665600,5.932,6.167,5.72,6.124,18771555.09
2023-03-14 00:00:00,1678752000,6.124,6.562,6.021,6.246,19607348.73
2023-03-15 00:00:00,1678838400,6.246,6.393,5.794,5.893,16172641.1
2023-03-16 00:00:00,1678924800,5.893,6.152,5.789,6.1,9688964.55
2023-03-17 00:00:00,1679011200,6.1,6.643,6.043,6.637,11684667.92
2023-03-18 00:00:00,1679097600,6.637,6.71,6.301,6.326,8630893.36
2023-03-19 00:00:00,1679184000,6.326,6.615,6.326,6.465,5613350.14
2023-03-20 00:00:00,1679270400,6.465,6.499,6.068,6.108,8399383.81
2023-03-21 00:00:00,1679356800,6.108,6.466,6.022,6.382,9308340.13
2023-03-22 00:00:00,1679443200,6.382,6.393,5.933,6.066,10232915.9
2023-03-23 00:00:00,1679529600,6.066,6.43,6.009,6.331,7757743.43
2023-03-24 00:00:00,1679616000,6.331,6.348,5.96,6.025,7789245.16
2023-03-25 00:00:00,1679702400,6.025,6.085,5.839,5.912,4249585.74
2023-03-26 00:00:00,1679788800,5.912,6.111,5.888,6.053,3324760.89
2023-03-27 00:00:00,1679875200,6.053,6.115,5.752,5.872,6511509.39
2023-03-28 00:00:00,1679961600,5.872,6.11,5.792,6.057,4636801.09
2023-03-29 00:00:00,1680048000,6.057,6.282,6.052,6.181,6342571.33
2023-03-30 00:00:00,1680134400,6.181,6.295,6.029,6.12,6274992.85
2023-03-31 00:00:00,1680220800,6.12,6.382,6.104,6.344,6556898.2
2023-04-01 00:00:00,1680307200,6.344,6.392,6.202,6.35,4351365.94
2023-04-02 00:00:00,1680393600,6.35,6.445,6.187,6.268,4422642.89
2023-04-03 00:00:00,1680480000,6.268,6.5,6.101,6.423,8955511.26
2023-04-04 00:00:00,1680566400,6.423,6.531,6.368,6.44,8080091.41
2023-04-05 00:00:00,1680652800,6.44,6.586,6.33,6.408,7751340.56
2023-04-06 00:00:00,1680739200,6.408,6.416,6.26,6.276,6706210.16
2023-04-07 00:00:00,1680825600,6.276,6.32,6.139,6.18,5873974.39
2023-04-08 00:00:00,1680912000,6.18,6.235,6.1,6.134,3949882.84
2023-04-09 00:00:00,1680998400,6.134,6.262,6.101,6.214,2343039.47
2023-04-10 00:00:00,1681084800,6.214,6.314,6.123,6.294,5682011.06
2023-04-11 00:00:00,1681171200,6.294,6.494,6.281,6.422,8382837.87
2023-04-12 00:00:00,1681257600,6.422,6.474,6.221,6.407,8754615.9
2023-04-13 00:00:00,1681344000,6.407,6.656,6.355,6.641,9596777.01
2023-04-14 00:00:00,1681430400,6.641,6.849,6.544,6.733,14270945.11
2023-04-15 00:00:00,1681516800,6.733,6.871,6.641,6.804,6513626.18
2023-04-16 00:00:00,1681603200,6.804,6.832,6.796,6.831,167175.37
