datetime,timestamp,open,high,low,close,volume
2021-01-01 00:00:00,1609459200,0.6002,0.6002,0.6002,0.6002,0.0
2021-01-02 00:00:00,1609545600,0.4114,0.4509,0.3861,0.3864,102.77
2021-01-03 00:00:00,1609632000,0.4134,0.5221,0.4298,0.4298,30.62
2021-01-04 00:00:00,1609718400,0.4298,0.7663,0.4183,0.4183,21.4
2021-01-05 00:00:00,1609804800,0.4183,0.4424,0.4424,0.4424,0.745
2021-01-06 00:00:00,1609891200,0.4424,0.847,0.4854,0.847,0.4235
2021-01-07 00:00:00,1609977600,0.847,0.8579,0.8575,0.8579,0.8579
2021-01-08 00:00:00,1610064000,0.4738,0.4876,0.4876,0.4876,4.226
2021-01-09 00:00:00,1610150400,0.488,0.8887,0.384,0.8887,11.36
2021-01-10 00:00:00,1610236800,0.63,0.63,0.63,0.63,0.0
2021-01-11 00:00:00,1610323200,0.63,0.63,0.63,0.63,0.0
2021-01-12 00:00:00,1610409600,0.63,0.63,0.63,0.63,0.0
2021-01-13 00:00:00,1610496000,0.63,0.63,0.63,0.63,0.0
2021-01-14 00:00:00,1610582400,0.63,0.63,0.63,0.63,0.0
2021-01-15 00:00:00,1610668800,0.63,0.63,0.63,0.63,0.0
2021-01-16 00:00:00,1610755200,0.63,0.63,0.63,0.63,0.0
2021-01-17 00:00:00,1610841600,0.63,0.63,0.63,0.63,0.0
2021-01-18 00:00:00,1610928000,0.63,0.63,0.63,0.63,0.0
2021-01-19 00:00:00,1611014400,0.63,0.63,0.63,0.63,0.0
2021-01-20 00:00:00,1611100800,0.63,0.63,0.63,0.63,0.0
2021-01-21 00:00:00,1611187200,0.63,0.63,0.63,0.63,0.0
2021-01-22 00:00:00,1611273600,0.63,0.63,0.63,0.63,0.0
2021-01-23 00:00:00,1611360000,0.8572,0.8568,0.3702,0.3702,0.1287
2021-01-24 00:00:00,1611446400,0.3702,0.9051,0.4177,0.4177,12.54
2021-01-25 00:00:00,1611532800,0.4177,0.8569,0.3955,0.3955,0.5348
2021-01-26 00:00:00,1611619200,0.3955,0.8892,0.4105,0.8892,3.124
2021-01-27 00:00:00,1611705600,0.63,0.63,0.63,0.63,0.0
2021-01-28 00:00:00,1611792000,0.63,0.63,0.63,0.63,0.0
2021-01-29 00:00:00,1611878400,0.401,0.6504,0.4107,0.6504,108.27
2021-01-30 00:00:00,1611964800,0.8957,0.8959,0.7173,0.8887,0.875
2021-01-31 00:00:00,1612051200,0.63,0.63,0.63,0.63,0.0
2021-02-01 00:00:00,1612137600,0.63,0.63,0.63,0.63,0.0
2021-02-02 00:00:00,1612224000,0.63,0.63,0.63,0.63,0.0
2021-02-03 00:00:00,1612310400,0.63,0.63,0.63,0.63,0.0
2021-02-04 00:00:00,1612396800,1.074,1.037,0.9585,1.037,5.234
2021-02-05 00:00:00,1612483200,0.63,0.63,0.63,0.63,0.0
2021-02-06 00:00:00,1612569600,0.63,0.69,0.62,0.69,321.03
2021-02-07 00:00:00,1612656000,1.09,1.048,1.033,1.033,0.5826
2021-02-08 00:00:00,1612742400,0.8,0.8,0.8,0.8,0.0
2021-02-09 00:00:00,1612828800,1.122,1.134,1.134,1.134,0.6804
2021-02-10 00:00:00,1612915200,0.8,0.8,0.8,0.8,0.0
2021-02-11 00:00:00,1613001600,0.8,0.8,0.7996,0.7997,22.01
2021-02-12 00:00:00,1613088000,0.7997,0.7997,0.7997,0.7997,0.0
2021-02-13 00:00:00,1613174400,1.181,1.163,0.4967,0.4967,2.217
2021-02-14 00:00:00,1613260800,0.944,0.9726,0.4739,0.4865,28.33
2021-02-15 00:00:00,1613347200,0.631,0.6228,0.5694,0.5694,2.746
2021-02-16 00:00:00,1613433600,0.4794,0.6876,0.4918,0.6876,9.358
2021-02-17 00:00:00,1613520000,1.14,1.184,0.5044,0.5046,213.23
2021-02-18 00:00:00,1613606400,0.5046,1.24,0.5287,1.24,2.067
2021-02-19 00:00:00,1613692800,0.5154,0.6209,0.5588,0.6209,5.711
2021-02-20 00:00:00,1613779200,0.6209,0.6205,0.4942,0.4942,27.87
2021-02-21 00:00:00,1613865600,1.225,1.237,0.5275,0.717,161.37
2021-02-22 00:00:00,1613952000,0.7997,0.7997,0.4158,0.4187,16.64
2021-02-23 00:00:00,1614038400,0.4847,0.4302,0.4302,0.4302,3.831
2021-02-24 00:00:00,1614124800,0.4187,0.4187,0.4187,0.4187,0.0
2021-02-25 00:00:00,1614211200,0.4412,0.4195,0.4134,0.4134,112.31
2021-02-26 00:00:00,1614297600,0.404,0.3942,0.3941,0.3941,46.02
2021-02-27 00:00:00,1614384000,0.3941,0.3979,0.39,0.39,2.591
2021-02-28 00:00:00,1614470400,0.39,0.3878,0.3798,0.3798,7.597
2021-03-01 00:00:00,1614556800,0.3798,0.4196,0.3929,0.4196,2.098
2021-03-02 00:00:00,1614643200,0.4348,0.4899,0.4249,0.4899,64.29
2021-03-03 00:00:00,1614729600,0.79,0.79,0.79,0.79,0.0
2021-03-04 00:00:00,1614816000,0.79,0.79,0.79,0.79,0.0
2021-03-05 00:00:00,1614902400,0.79,0.79,0.7,0.7,0.35
2021-03-06 00:00:00,1614988800,0.7,0.7,0.7,0.7,0.0
2021-03-07 00:00:00,1615075200,0.7,0.79,0.7,0.79,784.02
2021-03-08 00:00:00,1615161600,0.9167,0.9741,0.4557,0.9679,8.249
