datetime,timestamp,open,high,low,close,volume
2022-01-01 00:00:00,1640995200,0.3735,0.3842,0.3756,0.3786,79909.22
2022-01-02 00:00:00,1641081600,0.3786,0.6168,0.3839,0.4743,4615871.31
2022-01-03 00:00:00,1641168000,0.4743,0.5719,0.4417,0.456,2319944.47
2022-01-04 00:00:00,1641254400,0.456,0.5289,0.4577,0.502,1610794.08
2022-01-05 00:00:00,1641340800,0.502,0.4739,0.4272,0.4386,604974.65
2022-01-06 00:00:00,1641427200,0.4386,0.433,0.4033,0.4251,286460.17
2022-01-07 00:00:00,1641513600,0.4251,0.4088,0.3861,0.3935,174366.86
2022-01-08 00:00:00,1641600000,0.3935,0.3826,0.3697,0.3743,132124.73
2022-01-09 00:00:00,1641686400,0.3743,0.4922,0.3828,0.4405,1847949.25
2022-01-10 00:00:00,1641772800,0.4405,0.4622,0.4018,0.4151,438001.07
2022-01-11 00:00:00,1641859200,0.4151,0.4465,0.4002,0.419,281495.73
2022-01-12 00:00:00,1641945600,0.419,0.4361,0.4088,0.4274,197058.65
2022-01-13 00:00:00,1642032000,0.4274,0.4332,0.4033,0.4173,263735.13
2022-01-14 00:00:00,1642118400,0.4173,0.426,0.4104,0.421,305982.26
2022-01-15 00:00:00,1642204800,0.421,0.4487,0.4211,0.4301,228734.48
2022-01-16 00:00:00,1642291200,0.4301,0.4509,0.4271,0.4331,132048.46
2022-01-17 00:00:00,1642377600,0.4331,0.4209,0.4039,0.4187,197693.51
2022-01-18 00:00:00,1642464000,0.4187,0.4123,0.3971,0.4063,184134.21
2022-01-19 00:00:00,1642550400,0.4063,0.3989,0.389,0.3952,117034.8
2022-01-20 00:00:00,1642636800,0.3952,0.387,0.3732,0.3834,106137.84
2022-01-21 00:00:00,1642723200,0.3834,0.3348,0.3197,0.3276,130807.21
2022-01-22 00:00:00,1642809600,0.3276,0.3114,0.2707,0.303,380703.02
2022-01-23 00:00:00,1642896000,0.303,0.3213,0.3073,0.3116,128279.59
2022-01-24 00:00:00,1642982400,0.3116,0.3815,0.2984,0.3385,966099.09
2022-01-25 00:00:00,1643068800,0.3385,0.3409,0.3148,0.321,266668.65
2022-01-26 00:00:00,1643155200,0.321,0.3282,0.3053,0.3221,137994.32
2022-01-27 00:00:00,1643241600,0.3221,0.326,0.3103,0.3207,93302.03
2022-01-28 00:00:00,1643328000,0.3207,0.3545,0.3278,0.3298,203788.81
2022-01-29 00:00:00,1643414400,0.3298,0.3402,0.3285,0.3355,53260.28
2022-01-30 00:00:00,1643500800,0.3355,0.3379,0.3264,0.3301,40722.71
2022-01-31 00:00:00,1643587200,0.3301,0.341,0.3265,0.3318,126036.01
2022-02-01 00:00:00,1643673600,0.3318,0.3463,0.3284,0.3315,105509.59
2022-02-02 00:00:00,1643760000,0.3315,0.3491,0.3169,0.3306,137239.57
2022-02-03 00:00:00,1643846400,0.3306,0.3684,0.3326,0.359,287879.16
2022-02-04 00:00:00,1643932800,0.359,0.4079,0.369,0.3794,140335.3
2022-02-05 00:00:00,1644019200,0.3794,0.398,0.376,0.3932,146096.72
2022-02-06 00:00:00,1644105600,0.3932,0.4021,0.3844,0.3951,77795.73
2022-02-07 00:00:00,1644192000,0.3951,0.4275,0.3961,0.4078,450735.79
2022-02-08 00:00:00,1644278400,0.4078,0.4304,0.3764,0.387,200772.54
2022-02-09 00:00:00,1644364800,0.387,0.4104,0.3919,0.3974,303897.32
2022-02-10 00:00:00,1644451200,0.3974,0.3794,0.3616,0.3757,132561.05
2022-02-11 00:00:00,1644537600,0.3757,0.3658,0.3515,0.3588,77029.94
2022-02-12 00:00:00,1644624000,0.3588,0.3779,0.3406,0.3514,193909.09
2022-02-13 00:00:00,1644710400,0.3514,0.3591,0.3384,0.349,130024.89
2022-02-14 00:00:00,1644796800,0.349,0.357,0.3412,0.3444,70501.51
2022-02-15 00:00:00,1644883200,0.3444,0.375,0.3622,0.366,93195.42
2022-02-16 00:00:00,1644969600,0.366,0.3618,0.3515,0.3612,95371.97
2022-02-17 00:00:00,1645056000,0.3612,0.3369,0.3274,0.3326,85716.1
2022-02-18 00:00:00,1645142400,0.3326,0.3381,0.3164,0.3326,125390.43
2022-02-19 00:00:00,1645228800,0.3326,0.3306,0.3229,0.3279,35702.12
2022-02-20 00:00:00,1645315200,0.3279,0.3187,0.3082,0.315,151079.2
2022-02-21 00:00:00,1645401600,0.315,0.31,0.2891,0.2907,74542.43
2022-02-22 00:00:00,1645488000,0.2907,0.3124,0.2879,0.3027,68652.43
2022-02-23 00:00:00,1645574400,0.3027,0.3027,0.2875,0.3027,53282.98
2022-02-24 00:00:00,1645660800,0.3027,0.3136,0.2806,0.2967,130793.07
2022-02-25 00:00:00,1645747200,0.2967,0.4245,0.3132,0.3686,608170.74
2022-02-26 00:00:00,1645833600,0.3686,0.3906,0.3542,0.3701,301447.45
2022-02-27 00:00:00,1645920000,0.3701,0.3484,0.3156,0.328,187977.08
2022-02-28 00:00:00,1646006400,0.328,0.3883,0.3501,0.3559,135299.89
2022-03-01 00:00:00,1646092800,0.3559,0.3637,0.3474,0.3539,97160.93
2022-03-02 00:00:00,1646179200,0.3539,0.3509,0.3332,0.3436,122723.05
2022-03-03 00:00:00,1646265600,0.3436,0.3352,0.3253,0.3335,49317.52
2022-03-04 00:00:00,1646352000,0.3335,0.3535,0.3053,0.3391,198029.84
2022-03-05 00:00:00,1646438400,0.3391,0.3447,0.329,0.333,61349.36
2022-03-06 00:00:00,1646524800,0.333,0.3209,0.3071,0.3147,79567.05
2022-03-07 00:00:00,1646611200,0.3147,0.3151,0.2974,0.3151,79959.59
2022-03-08 00:00:00,1646697600,0.3151,0.351,0.3165,0.3211,138199.05
2022-03-09 00:00:00,1646784000,0.3211,0.3547,0.3271,0.3318,97836.1
2022-03-10 00:00:00,1646870400,0.3318,0.3237,0.3136,0.3201,54388.5
2022-03-11 00:00:00,1646956800,0.3201,0.3442,0.3105,0.3184,176984.31
2022-03-12 00:00:00,1647043200,0.3184,0.3207,0.314,0.3171,27777.35
2022-03-13 00:00:00,1647129600,0.3171,0.3111,0.3043,0.3071,18294.02
2022-03-14 00:00:00,1647216000,0.3071,0.3187,0.3063,0.3175,65398.85
2022-03-15 00:00:00,1647302400,0.3175,0.3227,0.3081,0.3146,107274.27
2022-03-16 00:00:00,1647388800,0.3146,0.3444,0.3161,0.3189,117534.43
2022-03-17 00:00:00,1647475200,0.3189,0.3254,0.3169,0.3226,40963.52
2022-03-18 00:00:00,1647561600,0.3226,0.3571,0.3312,0.3341,102434.36
2022-03-19 00:00:00,1647648000,0.3341,0.3404,0.3295,0.3369,53324.96
2022-03-20 00:00:00,1647734400,0.3369,0.3496,0.323,0.3308,115355.35
2022-03-21 00:00:00,1647820800,0.3308,0.3439,0.3277,0.3436,77242.62
2022-03-22 00:00:00,1647907200,0.3436,0.3576,0.3395,0.3553,81945.38
2022-03-23 00:00:00,1647993600,0.3553,0.3724,0.3535,0.363,157362.54
2022-03-24 00:00:00,1648080000,0.363,0.372,0.3561,0.3633,82128.62
2022-03-25 00:00:00,1648166400,0.3633,0.3644,0.3529,0.3591,49473.45
