datetime,timestamp,open,high,low,close,volume
2022-01-01 00:00:00,1640995200,34.08,34.91,34.05,34.87,3040965.88
2022-01-02 00:00:00,1641081600,34.87,35.89,34.33,35.38,2420409.88
2022-01-03 00:00:00,1641168000,35.38,35.38,34.16,34.72,3320378.96
2022-01-04 00:00:00,1641254400,34.72,35.0,33.85,34.12,3886357.61
2022-01-05 00:00:00,1641340800,34.12,34.8,30.51,31.95,5757918.48
2022-01-06 00:00:00,1641427200,31.95,32.13,30.66,31.66,4971020.67
2022-01-07 00:00:00,1641513600,31.66,31.75,29.24,30.44,6192606.75
2022-01-08 00:00:00,1641600000,30.44,31.03,28.46,29.37,4445324.99
2022-01-09 00:00:00,1641686400,29.37,30.27,29.16,29.75,2373033.9
2022-01-10 00:00:00,1641772800,29.75,30.11,27.31,28.49,7830678.4
2022-01-11 00:00:00,1641859200,28.44,30.75,29.49,29.62,7737864.95
2022-01-12 00:00:00,1641945600,29.67,31.23,29.57,31.15,4103590.47
2022-01-13 00:00:00,1642032000,31.14,30.96,29.91,30.23,7918256.54
2022-01-14 00:00:00,1642118400,30.27,33.48,30.07,31.99,8627671.7
2022-01-15 00:00:00,1642204800,31.97,33.49,32.03,32.86,8797882.76
2022-01-16 00:00:00,1642291200,32.86,33.07,32.11,32.28,8333284.46
2022-01-17 00:00:00,1642377600,32.28,31.22,30.53,31.02,7928657.72
2022-01-18 00:00:00,1642464000,31.0,34.22,30.69,32.65,15283470.04
2022-01-19 00:00:00,1642550400,32.65,34.72,31.28,31.28,12648986.51
2022-01-20 00:00:00,1642636800,31.28,32.04,29.11,29.34,5622138.73
2022-01-21 00:00:00,1642723200,29.34,29.75,25.25,25.95,12231512.34
2022-01-22 00:00:00,1642809600,25.95,26.46,21.3,24.22,14362347.89
2022-01-23 00:00:00,1642896000,24.22,25.26,23.56,25.17,8050636.42
2022-01-24 00:00:00,1642982400,25.17,25.17,21.71,24.13,10464108.86
2022-01-25 00:00:00,1643068800,24.13,24.33,23.27,24.03,4960738.9
2022-01-26 00:00:00,1643155200,24.03,26.33,23.64,24.33,7606968.64
2022-01-27 00:00:00,1643241600,24.33,24.79,23.35,24.33,4133729.42
2022-01-28 00:00:00,1643328000,24.26,26.13,25.07,25.21,6664323.97
2022-01-29 00:00:00,1643414400,25.21,25.97,25.32,25.36,6395016.64
2022-01-30 00:00:00,1643500800,25.36,25.68,24.94,24.94,6121116.59
2022-01-31 00:00:00,1643587200,24.94,26.11,25.44,25.71,6484593.9
2022-02-01 00:00:00,1643673600,25.68,26.94,25.44,26.79,5081384.46
2022-02-02 00:00:00,1643760000,26.79,28.49,26.2,26.3,8749848.82
2022-02-03 00:00:00,1643846400,26.3,28.13,25.69,27.87,4723769.86
2022-02-04 00:00:00,1643932800,27.87,29.84,27.44,29.71,6332686.13
2022-02-05 00:00:00,1644019200,29.71,29.96,28.69,29.41,6835081.37
2022-02-06 00:00:00,1644105600,29.45,30.38,29.66,29.87,7330427.36
2022-02-07 00:00:00,1644192000,29.89,33.22,29.33,32.61,10598181.31
2022-02-08 00:00:00,1644278400,32.61,33.26,30.4,32.02,6034566.9
2022-02-09 00:00:00,1644364800,32.02,34.93,31.26,33.84,12328234.06
2022-02-10 00:00:00,1644451200,33.84,37.5,33.57,34.4,21048022.94
2022-02-11 00:00:00,1644537600,34.4,37.52,31.89,32.73,18391063.91
2022-02-12 00:00:00,1644624000,32.73,33.47,31.1,31.67,8334831.93
2022-02-13 00:00:00,1644710400,31.67,34.08,31.53,32.49,9598596.86
2022-02-14 00:00:00,1644796800,32.49,33.28,30.41,31.43,7231422.11
2022-02-15 00:00:00,1644883200,31.43,33.68,31.15,33.49,6718089.84
2022-02-16 00:00:00,1644969600,33.49,33.49,31.49,32.25,5319219.57
2022-02-17 00:00:00,1645056000,32.25,32.63,28.85,29.43,6559100.4
2022-02-18 00:00:00,1645142400,29.43,30.42,28.24,28.97,6675541.68
2022-02-19 00:00:00,1645228800,28.97,29.22,27.65,28.71,4729687.4
2022-02-20 00:00:00,1645315200,28.71,28.74,26.82,27.23,6912879.64
