datetime,timestamp,open,high,low,close,volume
2019-01-01 00:00:00,1546300800,3.747,3.909,3.777,3.878,17030.71
2019-01-02 00:00:00,1546387200,3.878,3.949,3.838,3.848,15633.18
2019-01-03 00:00:00,1546473600,3.848,3.949,3.777,3.949,15853.58
2019-01-04 00:00:00,1546560000,3.949,3.949,3.717,3.838,15806.46
2019-01-05 00:00:00,1546646400,3.838,3.949,3.747,3.858,9920.36
2019-01-06 00:00:00,1546732800,3.858,3.939,3.717,3.757,5864.39
2019-01-07 00:00:00,1546819200,3.757,3.868,3.757,3.848,5028.85
2019-01-08 00:00:00,1546905600,3.848,3.868,3.737,3.798,16801.27
2019-01-09 00:00:00,1546992000,3.798,3.939,3.798,3.899,8086.83
2019-01-10 00:00:00,1547078400,3.899,3.939,3.737,3.737,13394.49
2019-01-11 00:00:00,1547164800,3.737,3.747,3.717,3.717,7897.98
2019-01-12 00:00:00,1547251200,3.717,3.747,3.687,3.737,14248.17
2019-01-13 00:00:00,1547337600,3.737,3.747,3.545,3.545,9159.86
2019-01-14 00:00:00,1547424000,3.545,3.737,3.545,3.737,12194.17
2019-01-15 00:00:00,1547510400,3.737,4.242,3.656,3.737,49837.9
2019-01-16 00:00:00,1547596800,3.737,3.99,3.64,3.79,6361.7
2019-01-17 00:00:00,1547683200,3.79,3.969,3.565,3.808,28716.95
2019-01-18 00:00:00,1547769600,3.808,4.03,3.74,3.85,10544.0
2019-01-19 00:00:00,1547856000,3.85,4.03,3.85,4.03,18749.58
2019-01-20 00:00:00,1547942400,4.03,4.19,3.69,3.8,14059.92
2019-01-21 00:00:00,1548028800,3.8,4.05,3.8,4.0,4968.64
2019-01-22 00:00:00,1548115200,4.0,4.0,3.8,4.0,5211.04
2019-01-23 00:00:00,1548201600,4.0,4.04,3.81,3.81,24430.41
2019-01-24 00:00:00,1548288000,3.81,3.83,3.74,3.74,8067.93
2019-01-25 00:00:00,1548374400,3.74,3.775,3.676,3.746,7631.72
2019-01-26 00:00:00,1548460800,3.746,3.748,3.678,3.678,11046.25
2019-01-27 00:00:00,1548547200,3.678,3.873,3.634,3.714,12670.87
2019-01-28 00:00:00,1548633600,3.714,3.728,3.348,3.688,28068.96
2019-01-29 00:00:00,1548720000,3.688,3.674,3.465,3.495,7672.96
2019-01-30 00:00:00,1548806400,3.495,3.548,3.479,3.548,2744.3
2019-01-31 00:00:00,1548892800,3.548,3.63,3.5,3.5,4179.62
2019-02-01 00:00:00,1548979200,3.5,3.613,3.494,3.533,4878.92
2019-02-02 00:00:00,1549065600,3.533,3.741,3.514,3.593,4213.84
2019-02-03 00:00:00,1549152000,3.593,4.002,3.548,3.637,5794.77
2019-02-04 00:00:00,1549238400,3.637,3.942,3.617,3.755,7919.28
2019-02-05 00:00:00,1549324800,3.755,3.884,3.765,3.884,1203.03
2019-02-06 00:00:00,1549411200,3.884,4.013,3.746,3.786,9822.81
2019-02-07 00:00:00,1549497600,3.786,3.826,3.786,3.786,1781.7
2019-02-08 00:00:00,1549584000,3.786,3.969,3.603,3.969,20572.61
