datetime,timestamp,open,high,low,close,volume
2023-01-01 00:00:00,1672531200,0.4621,0.5225,0.4597,0.4971,141154.19
2023-01-02 00:00:00,1672617600,0.4971,0.5176,0.4909,0.5041,101645.09
2023-01-03 00:00:00,1672704000,0.5041,0.5063,0.4828,0.4938,85725.84
2023-01-04 00:00:00,1672790400,0.4938,0.5243,0.4963,0.5086,82146.84
2023-01-05 00:00:00,1672876800,0.5086,0.5218,0.5014,0.5081,61040.82
2023-01-06 00:00:00,1672963200,0.5081,0.5165,0.4928,0.507,70874.33
2023-01-07 00:00:00,1673049600,0.507,0.5096,0.4927,0.4944,39990.45
2023-01-08 00:00:00,1673136000,0.4944,0.5118,0.497,0.5092,42798.72
2023-01-09 00:00:00,1673222400,0.5092,0.5422,0.5099,0.524,166499.94
2023-01-10 00:00:00,1673308800,0.524,0.5473,0.5217,0.5381,77004.91
2023-01-11 00:00:00,1673395200,0.5381,0.5597,0.525,0.5328,196445.65
2023-01-12 00:00:00,1673481600,0.5328,0.5647,0.5361,0.5376,142890.22
2023-01-13 00:00:00,1673568000,0.5376,0.6175,0.5643,0.5762,190149.8
2023-01-14 00:00:00,1673654400,0.5762,0.6115,0.5723,0.5869,355667.49
2023-01-15 00:00:00,1673740800,0.5869,0.5988,0.5685,0.5913,164581.83
2023-01-16 00:00:00,1673827200,0.5913,0.7109,0.5941,0.6499,722179.98
2023-01-17 00:00:00,1673913600,0.6501,0.659,0.6249,0.6301,53892.97
2023-01-18 00:00:00,1674000000,0.6301,0.6533,0.5603,0.578,178820.38
2023-01-19 00:00:00,1674086400,0.578,0.679,0.578,0.6538,104796.75
2023-01-20 00:00:00,1674172800,0.6538,0.685,0.6233,0.6748,86798.94
2023-01-21 00:00:00,1674259200,0.6748,0.7072,0.6566,0.6622,77103.38
2023-01-22 00:00:00,1674345600,0.6622,0.6843,0.6338,0.6526,91193.62
2023-01-23 00:00:00,1674432000,0.6526,0.6752,0.649,0.6668,32524.12
2023-01-24 00:00:00,1674518400,0.6668,0.6824,0.6291,0.64,74895.2
2023-01-25 00:00:00,1674604800,0.64,0.6642,0.6162,0.6514,74207.06
2023-01-26 00:00:00,1674691200,0.6514,0.7162,0.6259,0.6863,143096.1
2023-01-27 00:00:00,1674777600,0.6863,0.8622,0.6538,0.8058,383985.44
2023-01-28 00:00:00,1674864000,0.8058,1.12,0.7918,0.93,913826.18
2023-01-29 00:00:00,1674950400,0.93,1.023,0.8918,0.9253,443664.42
2023-01-30 00:00:00,1675036800,0.9253,1.01,0.82,0.8747,383334.75
2023-01-31 00:00:00,1675123200,0.8747,0.9428,0.8619,0.9037,199461.86
2023-02-01 00:00:00,1675209600,0.9037,0.9761,0.865,0.9431,194932.08
2023-02-02 00:00:00,1675296000,0.9431,0.991,0.91,0.9252,225960.77
2023-02-03 00:00:00,1675382400,0.9252,1.05,0.893,0.991,380340.6
2023-02-04 00:00:00,1675468800,0.991,1.031,0.9436,0.9688,119045.43
