datetime,timestamp,open,high,low,close,volume
2023-01-01 00:00:00,1672531200,1.527,1.535,1.473,1.517,169544.31
2023-01-02 00:00:00,1672617600,1.517,1.707,1.504,1.611,229032.14
2023-01-03 00:00:00,1672704000,1.611,1.641,1.547,1.621,120606.05
2023-01-04 00:00:00,1672790400,1.621,1.684,1.609,1.681,141490.98
2023-01-05 00:00:00,1672876800,1.681,2.071,1.656,1.8,366957.08
2023-01-06 00:00:00,1672963200,1.8,2.073,1.759,1.845,434995.84
2023-01-07 00:00:00,1673049600,1.845,1.858,1.796,1.825,91115.21
2023-01-08 00:00:00,1673136000,1.825,1.85,1.764,1.848,85472.24
2023-01-09 00:00:00,1673222400,1.848,2.021,1.831,1.929,303696.95
2023-01-10 00:00:00,1673308800,1.929,2.044,1.913,1.997,312899.11
2023-01-11 00:00:00,1673395200,1.997,2.053,1.915,2.031,207433.43
2023-01-12 00:00:00,1673481600,2.031,2.201,2.031,2.173,242986.03
2023-01-13 00:00:00,1673568000,2.173,2.426,2.17,2.381,497843.36
2023-01-14 00:00:00,1673654400,2.381,3.186,2.381,2.78,1396545.6
2023-01-15 00:00:00,1673740800,2.78,3.316,2.656,3.012,816210.47
2023-01-16 00:00:00,1673827200,3.012,3.258,2.913,3.055,581098.9
2023-01-17 00:00:00,1673913600,3.055,3.47,2.98,3.275,1461651.73
2023-01-18 00:00:00,1674000000,3.275,3.35,3.018,3.071,1730097.14
2023-01-19 00:00:00,1674086400,3.071,3.15,2.836,2.963,1196036.2
2023-01-20 00:00:00,1674172800,2.963,3.171,2.856,3.153,1108223.02
2023-01-21 00:00:00,1674259200,3.153,3.249,3.0,3.005,840017.91
2023-01-22 00:00:00,1674345600,3.005,3.119,2.91,2.951,655267.48
2023-01-23 00:00:00,1674432000,2.951,3.059,2.854,2.925,677162.38
2023-01-24 00:00:00,1674518400,2.925,3.011,2.767,2.794,815262.36
2023-01-25 00:00:00,1674604800,2.794,2.888,2.654,2.788,673867.84
2023-01-26 00:00:00,1674691200,2.788,3.003,2.765,2.834,551696.75
2023-01-27 00:00:00,1674777600,2.834,2.984,2.742,2.947,747196.06
2023-01-28 00:00:00,1674864000,2.947,3.006,2.839,2.902,290021.08
2023-01-29 00:00:00,1674950400,2.902,2.975,2.86,2.947,316327.88
2023-01-30 00:00:00,1675036800,2.947,2.967,2.563,2.682,624765.31
2023-01-31 00:00:00,1675123200,2.682,2.696,2.606,2.657,319329.46
2023-02-01 00:00:00,1675209600,2.657,3.046,2.552,2.98,981879.6
2023-02-02 00:00:00,1675296000,2.98,3.008,2.812,2.862,843801.97
2023-02-03 00:00:00,1675382400,2.862,3.058,2.76,2.9,1068144.3
2023-02-04 00:00:00,1675468800,2.9,3.034,2.887,2.917,414862.99
2023-02-05 00:00:00,1675555200,2.917,2.959,2.754,2.797,566367.92
2023-02-06 00:00:00,1675641600,2.797,2.953,2.787,2.797,597807.55
2023-02-07 00:00:00,1675728000,2.797,3.11,2.765,3.035,1202251.39
2023-02-08 00:00:00,1675814400,3.035,3.117,2.83,3.025,1087066.73
2023-02-09 00:00:00,1675900800,3.025,3.028,2.497,2.522,919811.14
2023-02-10 00:00:00,1675987200,2.522,2.542,2.415,2.468,523919.7
2023-02-11 00:00:00,1676073600,2.468,2.529,2.427,2.515,160090.23
2023-02-12 00:00:00,1676160000,2.515,2.583,2.437,2.483,149043.59
2023-02-13 00:00:00,1676246400,2.483,2.526,2.324,2.433,473310.62
2023-02-14 00:00:00,1676332800,2.433,2.514,2.363,2.475,521035.64
2023-02-15 00:00:00,1676419200,2.475,2.697,2.45,2.696,415145.0
2023-02-16 00:00:00,1676505600,2.696,2.763,2.506,2.521,616289.68
2023-02-17 00:00:00,1676592000,2.521,2.8,2.515,2.792,790577.39
2023-02-18 00:00:00,1676678400,2.792,2.857,2.767,2.799,540639.08
2023-02-19 00:00:00,1676764800,2.799,3.07,2.78,2.895,703519.17
2023-02-20 00:00:00,1676851200,2.895,3.243,2.822,3.193,1319578.93
2023-02-21 00:00:00,1676937600,3.193,3.409,2.949,3.079,1340858.13
2023-02-22 00:00:00,1677024000,3.079,3.133,2.733,2.981,774833.87
2023-02-23 00:00:00,1677110400,2.981,3.069,2.841,2.92,419378.59
2023-02-24 00:00:00,1677196800,2.92,2.934,2.684,2.742,364628.68
2023-02-25 00:00:00,1677283200,2.742,2.927,2.608,2.707,217392.72
2023-02-26 00:00:00,1677369600,2.707,2.777,2.679,2.737,181384.03
2023-02-27 00:00:00,1677456000,2.737,2.799,2.672,2.749,227458.22
