datetime,timestamp,open,high,low,close,volume
2023-01-01 00:00:00,1672531200,5.179,5.232,5.032,5.122,196722.3
2023-01-02 00:00:00,1672617600,5.122,5.216,5.104,5.173,213332.78
2023-01-03 00:00:00,1672704000,5.173,5.324,5.119,5.294,170426.1
2023-01-04 00:00:00,1672790400,5.294,5.386,5.182,5.217,169455.85
2023-01-05 00:00:00,1672876800,5.217,5.231,4.521,4.684,1170421.75
2023-01-06 00:00:00,1672963200,4.684,4.964,4.35,4.662,983048.02
2023-01-07 00:00:00,1673049600,4.662,4.78,4.637,4.7,148827.22
2023-01-08 00:00:00,1673136000,4.662,4.771,4.638,4.682,51278.63
2023-01-09 00:00:00,1673222400,4.75,4.936,4.753,4.898,193013.97
2023-01-10 00:00:00,1673308800,4.898,4.989,4.765,4.873,322034.76
2023-01-11 00:00:00,1673395200,4.873,5.042,4.888,4.899,165337.28
2023-01-12 00:00:00,1673481600,4.899,5.3,4.935,5.082,337195.21
2023-01-13 00:00:00,1673568000,5.082,5.507,5.142,5.184,324032.57
2023-01-14 00:00:00,1673654400,5.184,5.459,5.23,5.322,780111.96
2023-01-15 00:00:00,1673740800,5.322,5.358,5.026,5.134,455392.93
2023-01-16 00:00:00,1673827200,5.134,5.263,5.068,5.164,230942.17
2023-01-17 00:00:00,1673913600,5.164,5.159,4.906,4.965,193862.17
2023-01-18 00:00:00,1674000000,4.965,4.965,4.682,4.901,207826.89
2023-01-19 00:00:00,1674086400,4.901,5.07,4.87,4.94,118689.02
2023-01-20 00:00:00,1674172800,4.94,5.361,5.048,5.163,222686.42
2023-01-21 00:00:00,1674259200,5.163,5.285,4.957,4.998,380749.54
2023-01-22 00:00:00,1674345600,4.998,5.05,4.911,4.997,777751.84
2023-01-23 00:00:00,1674432000,4.997,5.046,4.987,5.037,3101.27
