datetime,timestamp,open,high,low,close,volume
2023-01-01 00:00:00,1672531200,0.7174,0.7174,0.701,0.7117,15408.03
2023-01-02 00:00:00,1672617600,0.7176,0.7286,0.7118,0.7236,50199.63
2023-01-03 00:00:00,1672704000,0.728,0.7296,0.7065,0.7125,25719.69
2023-01-04 00:00:00,1672790400,0.7125,0.7244,0.7117,0.7244,25349.31
2023-01-05 00:00:00,1672876800,0.7244,0.7525,0.715,0.7266,22441.25
2023-01-06 00:00:00,1672963200,0.7281,0.7333,0.7085,0.7229,155251.04
2023-01-07 00:00:00,1673049600,0.7244,0.7242,0.704,0.7166,10291.8
2023-01-08 00:00:00,1673136000,0.7166,0.7692,0.7306,0.7358,32138.22
2023-01-09 00:00:00,1673222400,0.7352,0.765,0.7315,0.7506,41008.44
2023-01-10 00:00:00,1673308800,0.7518,0.7936,0.7558,0.7635,112426.81
2023-01-11 00:00:00,1673395200,0.7603,0.7922,0.7597,0.7899,33795.7
2023-01-12 00:00:00,1673481600,0.7889,0.8311,0.7886,0.8005,394274.44
2023-01-13 00:00:00,1673568000,0.8005,0.8585,0.8172,0.8268,137069.89
2023-01-14 00:00:00,1673654400,0.8275,0.878,0.8213,0.8512,69229.71
2023-01-15 00:00:00,1673740800,0.8512,0.8911,0.8367,0.868,80450.93
2023-01-16 00:00:00,1673827200,0.8767,0.8944,0.8682,0.8792,29241.86
