datetime,timestamp,open,high,low,close,volume
2023-01-01 00:00:00,1672531200,0.6537,0.7297,0.6565,0.6721,44070.48
2023-01-02 00:00:00,1672617600,0.6707,0.6885,0.6678,0.6713,172225.6
2023-01-03 00:00:00,1672704000,0.6713,0.6955,0.668,0.6871,167220.02
2023-01-04 00:00:00,1672790400,0.6898,0.7655,0.6456,0.74,50829.52
2023-01-05 00:00:00,1672876800,0.735,0.7404,0.6967,0.7054,18173.42
2023-01-06 00:00:00,1672963200,0.7075,0.7444,0.7102,0.7267,202194.53
2023-01-07 00:00:00,1673049600,0.7267,0.7338,0.7101,0.7165,151571.51
2023-01-08 00:00:00,1673136000,0.7165,0.7324,0.7024,0.7173,200589.92
2023-01-09 00:00:00,1673222400,0.7173,0.7504,0.7141,0.7258,345320.27
2023-01-10 00:00:00,1673308800,0.7258,0.7528,0.7273,0.7331,261501.06
2023-01-11 00:00:00,1673395200,0.7331,0.7561,0.7351,0.738,159460.75
2023-01-12 00:00:00,1673481600,0.7417,0.7475,0.7317,0.7417,1007.19
