datetime,timestamp,open,high,low,close,volume
2018-01-01 00:00:00,1514764800,19.6,20.84,17.85,19.18,30168710.29
2018-01-02 00:00:00,1514851200,19.18,22.56,18.53,20.14,44266399.09
2018-01-03 00:00:00,1514937600,20.14,21.27,18.83,20.53,22042305.39
2018-01-04 00:00:00,1515024000,20.58,22.91,19.58,19.76,55266162.53
2018-01-05 00:00:00,1515110400,19.76,22.96,17.85,18.65,62024214.66
2018-01-06 00:00:00,1515196800,18.65,20.71,18.15,19.28,43802662.37
2018-01-07 00:00:00,1515283200,19.18,24.47,19.04,24.34,43821476.2
2018-01-08 00:00:00,1515369600,24.34,28.46,18.99,23.76,73133204.88
2018-01-09 00:00:00,1515456000,23.76,26.19,22.54,25.1,35633051.95
2018-01-10 00:00:00,1515542400,25.26,26.12,23.07,23.41,48930099.01
2018-01-11 00:00:00,1515628800,23.15,23.8,18.96,21.4,30222299.76
2018-01-12 00:00:00,1515715200,21.4,23.01,20.09,22.54,16890499.06
2018-01-13 00:00:00,1515801600,22.54,25.99,22.24,25.48,22449397.79
2018-01-14 00:00:00,1515888000,25.58,24.67,22.86,23.65,32129217.19
2018-01-15 00:00:00,1515974400,23.61,24.58,21.74,22.44,36414976.02
2018-01-16 00:00:00,1516060800,22.36,22.44,13.33,16.95,42557228.18
2018-01-17 00:00:00,1516147200,16.95,18.88,12.12,18.18,25530866.05
2018-01-18 00:00:00,1516233600,18.18,19.2,16.67,17.26,20092958.87
2018-01-19 00:00:00,1516320000,17.26,18.8,16.63,18.5,12162526.67
2018-01-20 00:00:00,1516406400,18.5,19.81,18.41,19.66,16840543.18
2018-01-21 00:00:00,1516492800,19.66,19.67,16.22,16.9,12534572.95
2018-01-22 00:00:00,1516579200,16.9,17.9,14.06,15.62,16666685.25
2018-01-23 00:00:00,1516665600,15.61,16.77,15.4,16.04,21170309.59
2018-01-24 00:00:00,1516752000,16.03,18.98,16.56,18.08,31721839.89
2018-01-25 00:00:00,1516838400,17.99,19.15,16.55,17.96,17270118.48
2018-01-26 00:00:00,1516924800,17.96,18.73,14.52,16.52,41945618.3
2018-01-27 00:00:00,1517011200,16.52,16.85,15.27,15.86,27379155.94
2018-01-28 00:00:00,1517097600,15.86,17.42,15.56,17.18,13611385.47
2018-01-29 00:00:00,1517184000,17.12,16.93,16.09,16.87,18363051.79
2018-01-30 00:00:00,1517270400,16.89,17.93,14.26,14.78,17561528.96
2018-01-31 00:00:00,1517356800,14.72,16.33,14.62,15.83,22201339.65
2018-02-01 00:00:00,1517443200,15.86,16.07,12.93,13.81,10020003.12
2018-02-02 00:00:00,1517529600,13.81,13.84,10.19,13.17,11847159.83
2018-02-03 00:00:00,1517616000,13.17,14.38,11.87,13.98,5198740.29
2018-02-04 00:00:00,1517702400,13.98,14.16,11.11,11.54,7406558.67
2018-02-05 00:00:00,1517788800,11.54,12.19,8.48,9.15,10722656.85
2018-02-06 00:00:00,1517875200,9.15,11.4,7.07,11.28,15006205.37
2018-02-07 00:00:00,1517961600,11.28,12.49,10.09,10.8,9141866.96
2018-02-08 00:00:00,1518048000,10.8,12.4,10.74,12.13,6727052.35
2018-02-09 00:00:00,1518134400,12.13,13.13,11.42,13.06,6435051.34
2018-02-10 00:00:00,1518220800,13.06,13.64,11.58,12.32,7488546.82
2018-02-11 00:00:00,1518307200,12.38,12.1,11.15,11.8,11845865.15
2018-02-12 00:00:00,1518393600,11.77,13.05,12.58,12.82,9877514.76
2018-02-13 00:00:00,1518480000,12.82,13.01,12.28,12.89,10933559.52
2018-02-14 00:00:00,1518566400,12.89,16.05,14.29,15.68,36128280.5
2018-02-15 00:00:00,1518652800,15.58,16.87,14.7,16.49,10967017.13
