datetime,timestamp,open,high,low,close,volume
2022-01-01 00:00:00,1640995200,9.701,10.02,10.02,10.02,0.0
2022-01-02 00:00:00,1641081600,10.02,9.934,9.934,9.934,0.0
2022-01-03 00:00:00,1641168000,9.934,9.755,9.755,9.755,0.0
2022-01-04 00:00:00,1641254400,9.755,9.623,9.623,9.623,0.0
2022-01-05 00:00:00,1641340800,9.623,9.121,9.121,9.121,0.0
2022-01-06 00:00:00,1641427200,9.121,9.05,8.188,8.188,319.33
2022-01-07 00:00:00,1641513600,8.188,7.893,7.893,7.893,0.0
2022-01-08 00:00:00,1641600000,7.893,7.92,7.92,7.92,0.0
2022-01-09 00:00:00,1641686400,7.92,7.955,7.955,7.955,0.0
2022-01-10 00:00:00,1641772800,7.955,7.948,7.948,7.948,0.0
2022-01-11 00:00:00,1641859200,7.948,8.121,8.121,8.121,0.0
2022-01-12 00:00:00,1641945600,8.121,8.345,8.345,8.345,0.0
2022-01-13 00:00:00,1642032000,8.345,8.089,8.089,8.089,0.0
2022-01-14 00:00:00,1642118400,8.089,8.187,8.187,8.187,0.0
2022-01-15 00:00:00,1642204800,8.187,8.187,8.187,8.187,0.0
2022-01-16 00:00:00,1642291200,8.187,8.189,8.189,8.189,0.0
2022-01-17 00:00:00,1642377600,8.189,8.023,8.023,8.023,0.0
2022-01-18 00:00:00,1642464000,8.023,8.051,8.051,8.051,0.0
2022-01-19 00:00:00,1642550400,8.051,7.918,7.918,7.918,0.0
2022-01-20 00:00:00,1642636800,7.918,7.732,7.732,7.732,0.0
2022-01-21 00:00:00,1642723200,7.732,6.929,6.929,6.929,0.0
2022-01-22 00:00:00,1642809600,6.929,6.664,6.664,6.664,0.0
2022-01-23 00:00:00,1642896000,6.664,6.895,6.895,6.895,0.0
2022-01-24 00:00:00,1642982400,6.895,6.974,6.974,6.974,0.0
2022-01-25 00:00:00,1643068800,6.974,7.025,7.025,7.025,0.0
